danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.411,0.818,-6.223,0.0426,0.00203,0.744,0.205,0.0315,174.026,3SQMOuGkeaej1ec5vB2PLi,202325
0.534,0.836,-4.768,0.0514,0.00261,0.00267,0.0975,0.291,173.95,40JHQWLKXV31wgzAktVtKZ,207586
0.491,0.856,-4.866,0.0438,0.000681,0.397,0.11,0.0669,174.026,1joSUEzzSEJ8d8OyDRxBVM,297762
0.625,0.783,-3.174,0.0646,0.00643,0.272,0.203,0.458,172.097,4bFSwJe8mnauJvUWY0kkuD,230560
0.403,0.956,-3.572,0.0455,0.00266,0.189,0.321,0.105,174.017,1gw3ITBEn4tGNDoSCmr8Rs,264628
0.427,0.973,-2.385,0.0805,0.00018,0.00242,0.11,0.366,173.981,45t6vbzyrQlsFI3xnzevjM,220390
0.297,0.814,-5.381,0.0782,0.000356,0.268,0.139,0.0644,174.056,14wbsRn4dzYtLE4QVhI0qB,274762
0.707,0.74,-6.031,0.138,0.00847,0.608,0.11,0.37,174.042,4ppgJlsbKqhvYpCwcFqq6Y,272310
0.408,0.752,-4.947,0.031,0.000568,0.872,0.109,0.296,174.054,6Wya9mUyfUbiG4lcHw0Byc,274174
0.575,0.812,-4.677,0.0616,0.115,0.00292,0.198,0.105,173.99,5Wt6kUP0OX2IUx1XW12UlN,238086
0.482,0.755,-5.597,0.0503,0.0115,0.744,0.11,0.0349,173.974,43Gxv1C1Ct8565QXHgfWK4,276062
0.457,0.942,-3.605,0.0508,0.00756,0.000889,0.0957,0.141,173.951,0ucdnfv1uvBcvmlFZbP94y,283579
0.387,0.925,-3.235,0.04,0.0854,0.00963,0.159,0.0523,173.924,0UVMGMcNVdA0SuPm47xaHT,184135
0.439,0.942,-3.093,0.0392,0.000272,0.755,0.0647,0.232,173.976,62CU12eNCRzLTgqgVK7z0H,276203
0.432,0.956,-3.388,0.0503,0.00271,0.943,0.0793,0.186,175.012,1mkMcLOA7YTd6SAKgL9A7N,341684
0.515,0.948,-2.72,0.04,2.34e-05,0.113,0.044,0.474,174.018,2fMpcwNkVa1bj6wxADpwAa,273103
0.549,0.783,-5.335,0.0457,0.0016,0.875,0.0952,0.0599,175.026,0Gh0zC1iXujb6mjh2B7ASs,266792
0.691,0.659,-5.735,0.0673,0.0391,0.761,0.117,0.755,85.007,751ptOiHpJFPpNmrrkIbUK,274899
0.311,0.826,-5.56,0.0463,0.00132,0.83,0.106,0.104,87.526,3DI0DCgSU2hBHYEpNmqLv8,293871
0.421,0.664,-6.478,0.0533,0.00525,0.702,0.109,0.131,86.939,1aOPKVM1qxAkPRF92RiBpr,279859
0.666,0.782,-5.766,0.0539,0.00298,0.00432,0.0453,0.307,174.009,6eCbd2ZAdlI0UYJ3QGXSWS,269235
0.608,0.687,-8.126,0.0787,0.0827,0.00661,0.0717,0.343,85.901,0R49rmt982lsVFK3nDNJiP,317181
0.483,0.703,-5.967,0.0407,0.00116,0.163,0.124,0.0394,86.983,48v9yscIyNKgAOVsrE2RNi,331717
0.637,0.72,-4.731,0.0453,0.106,0.283,0.111,0.339,174.068,5PsU87jOgPewp4dF7UHEP0,300548
0.417,0.889,-4.575,0.0769,0.000489,0.38,0.0955,0.0639,172.037,08XPGnfK573KJTfm8ZB8FO,279852
0.532,0.938,-2.823,0.0415,0.000589,0.882,0.212,0.235,174.009,5HO1yPNE1JzC5Zm8k53YFL,298173
0.615,0.874,-4.805,0.0683,0.0329,0.407,0.0455,0.45,172.016,5QbFh0dn8ViphenGZmoBo7,253607
0.598,0.936,-3.208,0.0941,0.000682,0.844,0.27,0.0393,174.069,4do8GnE87AatFGmNib2E9f,273378
0.615,0.942,-3.243,0.0686,9.5e-05,0.837,0.332,0.404,174.081,5qByQwOPmSkokKRG7m2pN2,249905
0.378,0.97,-3.324,0.046,0.000224,0.95,0.238,0.0368,171.965,5a6tFMjjJLOngAbAGatJHe,165225
0.598,0.936,-3.208,0.0941,0.000682,0.844,0.27,0.0393,174.069,69tSahaUvXpWA14dXGzYEl,273378
0.303,0.955,-2.933,0.0877,0.0025,0.826,0.242,0.108,173.982,2SxfIE6SzGoJgp48gHfFEG,279280
0.46,0.934,-3.63,0.0563,0.00359,0.8,0.0813,0.0593,174.986,3ycmwIg5ObpQSA87FdQTEc,319871
0.367,0.913,-3.813,0.0411,0.00262,0.12,0.122,0.169,173.904,5MexmPWHh8caUNsEAPpVfE,170647
0.584,0.984,-3.784,0.0661,0.000294,0.848,0.103,0.0363,174.036,2nhXa36Brkshn9JsKAUXfj,259581
0.589,0.819,-7.274,0.0536,0.0245,0.925,0.0732,0.269,171.95,6vXDQKtSroYmx3nBREUWAL,295839
0.585,0.872,-4.758,0.0562,0.011,0.85,0.345,0.441,174.03,0nbx6fZRO8Mizg0Sp8tE42,333393
0.668,0.608,-6.678,0.0782,0.047,0.0271,0.104,0.0864,172.048,0AC7jvTAg7uSJBAnf0KVoa,249767
0.441,0.952,-3.742,0.0435,0.000609,0.407,0.963,0.185,173.99,5YAbtAsLp2GZ6Jdlr9FTUA,254056
0.438,0.915,-3.831,0.0411,0.00171,0.793,0.074,0.0433,174.016,0cvxGtA2GcmiB1YXKEqosQ,229781
0.347,0.78,-6.651,0.0718,0.0153,0.00254,0.118,0.219,173.995,4xqbNnW45Qr11tfyGpRT9j,263739
0.453,0.877,-3.153,0.0355,0.00158,0.902,0.0779,0.0347,171.98,59yeSrtTfW0yV6uwgwzbal,298455
