danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.5,0.719,-4.903,0.0431,0.00328,0.887,0.0863,0.0944,173.956,4bS2zDUhn7haBKL8ey4tl5,271465
0.574,0.975,-3.338,0.0675,0.00385,0.763,0.0913,0.374,174.016,3vLJiZuxrv55LgiyD8mXoX,311990
0.586,0.855,-5.064,0.0457,0.000384,0.35,0.0573,0.574,173.991,4ccOwo1gIGWyVFH91GCc12,273328
0.633,0.769,-4.727,0.0362,0.0229,0.523,0.0961,0.182,86.98,1sMvalhDQ6BGRnkTSN3XS2,313562
0.478,0.826,-5.843,0.0468,0.00354,0.149,0.205,0.0297,173.994,6XU2NGxuXy1vIS4S47a40a,331128
0.517,0.895,-7.074,0.0403,8.03e-05,0.809,0.667,0.0893,174.976,3fhpgUOGc2Zy46UthfjUfi,301714
0.543,0.87,-5.036,0.0509,0.00564,0.0593,0.0913,0.43,174.032,72guGA45az0O9k2aM28l5f,271084
0.502,0.822,-3.88,0.0377,0.0762,0.902,0.0895,0.0709,174.036,7jmSvOFsnfXoXKqkWUjcbw,227698
0.349,0.82,-5.49,0.0648,0.000942,0.000677,0.15,0.16,175.089,6KaxPCKi1fpvbSX8MuniSy,245916
0.362,0.899,-7.193,0.059,0.00184,0.000177,0.15,0.366,174.111,4ACzVRfKxUMora4HZbnK4b,297931
0.516,0.86,-3.56,0.0494,0.0526,0.0,0.0858,0.35,173.874,4CDcp4Yeg46NiWCIfQ44rQ,182007
0.438,0.821,-5.759,0.0293,0.000709,0.85,0.0928,0.339,175.078,6NxFNcLpk0u0EuVluPpDOt,270514
0.46,0.95,-4.813,0.0592,0.000641,0.0216,0.14,0.0422,173.984,5N8XJJUQCXpZE5WySQvSNd,241260
0.456,0.844,-4.79,0.0403,0.00305,0.116,0.115,0.406,173.964,2v3qyzlULonDo6EtqhUu3l,231739
0.295,0.729,-5.25,0.0488,0.00465,0.745,0.139,0.12,173.914,46Y61QZJWGWDqqUMp8CfgQ,353103
0.591,0.889,-4.973,0.0463,0.0019,0.322,0.358,0.324,169.98,5AlAUYU6l7lEH6FPqaJ6R0,237191
0.471,0.803,-4.506,0.0307,0.00278,0.736,0.134,0.0626,172.015,6YXepkOIVLE10j0PJGCjrJ,323721
0.552,0.898,-2.791,0.0531,0.00059,0.0139,0.0502,0.17,172.044,4ujjd4ei4MwLGhTanovR51,364352
0.622,0.853,-3.669,0.0446,0.00594,0.000142,0.101,0.461,87.419,52UFPPFMnUzaWfiU8oYgpw,231195
0.473,0.887,-4.656,0.0776,0.00159,0.000387,0.183,0.218,174.008,5DuwlALviaSLG1nfBSNA3K,184828
0.576,0.824,-5.658,0.0515,0.122,0.938,0.101,0.123,174.023,3FtOLFXtOSXZb0to7ap5Wl,331035
