song_name,song_artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
So Clear,Hyd,0.729,0.577,-5.634,0.0448,0.11,0.00103,0.111,0.402,115.956,1NI1eV3ekhn0HbfkNp8i6m,180000
Bhāvachakra,Anish Kumar,0.668,0.68,-6.775,0.0335,0.00255,0.0438,0.123,0.385,129.032,1nz0SvhvjKHHX8NoSUeG3P,211811
Feel About You - Edit,Melle Brown,0.746,0.775,-4.018,0.0857,0.0241,0.0796,0.152,0.689,122.02,4OSS2eDxVmkG13O7MXPxul,216480
I Feel You (feat. Ell Murphy) - Edit,Giulia Tess,0.441,0.923,-6.756,0.0627,0.00557,0.165,0.0628,0.23,135.043,1DjivOHek7yr3b7xGVAV7S,184243
Feels Like,Lens,0.683,0.944,-3.201,0.0729,0.0167,0.885,0.0985,0.342,175.007,6tiK5mxdY4c8AFMhypVgG7,203071
Trip To Reality,Effy,0.447,0.992,-6.327,0.0501,0.000273,0.892,0.0576,0.208,140.018,2ttWiWGpvX2S1EA5UfBCRa,359521
Water,TSHA,0.611,0.837,-7.849,0.0419,0.0282,0.755,0.104,0.457,122.002,22QE1KHFMkl96UTjeDQ4GV,298714
Speedy Gs,DJ Q,0.662,0.775,-6.742,0.0441,0.00204,0.958,0.0893,0.594,128.045,5FHLW4748Qp01kvyPjbODM,226500
low down - Pola & Bryson Remix,venbee,0.622,0.673,-5.914,0.0552,0.0289,0.0292,0.128,0.0763,173.981,43XXw4DgEq4FLeLheuED0X,226207
Bluff - yeule & Kin Leonn Remix,yunè pinku,0.688,0.826,-7.617,0.0573,0.156,0.914,0.107,0.763,142.016,45rqRN1h6iNDMIAb0idSjQ,175399
Elder Garden,boys be kko,0.633,0.72,-10.156,0.047,0.0556,0.849,0.1,0.16,124.002,0Vvp9sJydb4zJsanPA77By,329072
Patience,Mall Grab,0.707,0.415,-9.874,0.0318,0.00462,0.0905,0.111,0.214,130.049,0MYqjhoG0r9K23MAk4ok5A,257424
Murphy - Edit,Jeremy Olander,0.667,0.861,-8.381,0.0466,7.08e-05,0.917,0.0976,0.271,126.008,4n8fxV2m3ESCoQgOaMrR2n,308571
on & on,piri & tommy,0.609,0.765,-7.65,0.0633,0.149,0.017,0.0815,0.819,173.993,2fmtrXfvbN8xkHwE0zgTTc,135013
Sternenhimmel,salute,0.577,0.911,-8.914,0.119,0.0471,0.0,0.0862,0.195,133.979,3g4JgXeSpv5wXGzdsDxCRi,334887
Sonder,Barry Can't Swim,0.596,0.606,-11.716,0.0433,0.313,0.846,0.0979,0.811,127.976,2wynpXzuXf6Cvf2MqHYA9Z,181873
