song_name,song_artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
Just Used Music Again,88rising,0.761,0.747,-6.888,0.252,0.00565,0.00374,0.164,0.585,122.974,1xnzsYat83Q20Js0RvXwdT,211301
Hit Me Where It Hurts,Caroline Polachek,0.732,0.523,-6.939,0.0314,0.133,0.000103,0.264,0.261,116.961,2wcrQZ7ZJolYEfIaPP9yL4,184132
Everybody Knows Shit's Fucked,Stephen Paul Taylor,0.696,0.559,-6.194,0.0326,0.0223,0.000129,0.159,0.41,113.201,5l4AUpGX1rjfPKWEujoFT3,194314
New Normal,Caroline Polachek,0.688,0.483,-5.539,0.0393,0.265,0.0,0.0838,0.488,95.198,3dPkaunRnlcwGiOTJpQGD1,154198
Music Is My Dream,Maxi Trusso,0.551,0.773,-3.485,0.0318,0.0913,3.77e-05,0.237,0.494,128.013,5il6GeWzqc43RyqWDGp18t,247000
Ocean of Tears,Caroline Polachek,0.572,0.442,-7.473,0.0375,0.101,1.22e-06,0.0984,0.132,76.973,4RqBss578GNj4u9VYZK5u0,204918
Supersoaker,Eartheater,0.502,0.825,-7.609,0.0367,0.0121,0.689,0.12,0.198,177.996,21lsxNQxBO9TLUsq3AqDfK,184505
Drop Location,Jacques Greene,0.491,0.768,-6.605,0.128,0.00343,0.916,0.0891,0.227,112.436,5PlShq06s2kmzKQT1HBsHK,169892
Hey Big Eyes,Caroline Polachek,0.537,0.726,-8.057,0.031,0.253,3.57e-05,0.124,0.208,97.989,37Iurk7tldnNLPYpSq00Ol,234082
"RACECAR (feat. Clairo, Coco & Clair Clair)",Deaton Chris Anthony,0.64,0.605,-10.135,0.0726,0.0416,0.00319,0.126,0.193,105.023,0E4oz7ZPWoALwDHeI0eLXZ,170559
Go As a Dream,Caroline Polachek,0.63,0.251,-11.475,0.0325,0.826,0.00136,0.119,0.21,171.923,3nNN1uts4kwkdwwV1CzZaN,207830
Pretty Boy - Hudson Mohawke Remix,Wuh Oh,0.576,0.325,-8.887,0.0437,0.747,0.874,0.0956,0.153,149.938,1rkFfXWkFtcZJsSK4xiWTE,216320
Caroline Shut Up,Caroline Polachek,0.548,0.449,-5.272,0.0267,0.12,0.0,0.14,0.111,97.55,6uEBCC605XCODjtwzae93h,212559
ALARMA!,666,0.733,0.934,-4.546,0.0588,0.000462,0.892,0.0585,0.275,129.998,5ezKbpPGtVHwUzKo3rdywi,205880
Peachy Keen,L Devine,0.806,0.439,-8.917,0.068,0.0625,0.00767,0.098,0.489,131.056,06ZIzHhJFWf0mDyEylIPf0,148238
The Gate,Caroline Polachek,0.176,0.314,-9.927,0.0351,0.89,0.0357,0.124,0.103,83.41,7zEFT8tRNy9B7I0F9OeNd0,102337
Greece 2000,Three Drives On A Vinyl,0.707,0.842,-11.393,0.0532,0.00618,0.871,0.0628,0.763,131.783,0TZL4krCFcuTlYZ8J9kcBX,234773
Runaway (U & I),Galantis,0.506,0.805,-4.119,0.0469,0.00711,0.00193,0.0856,0.383,126.008,46lFttIf5hnUZMGvjK0Wxo,227074
Beautiful People (feat. Khalid) - Danny L Harle Harlecore Remix,Ed Sheeran,0.458,0.93,-4.61,0.13,0.0372,0.0154,0.115,0.31,148.129,7fzqEoX5HCLwmt6aPxf54A,225367
Time Time Time,Samantha Urbani,0.593,0.789,-4.209,0.0979,0.127,0.000482,0.217,0.3,100.032,4JjaT4GxhN12Y0St10qgcH,268973
Epiphany,Ross from Friends,0.766,0.896,-7.561,0.0581,0.0201,0.828,0.143,0.58,127.011,5FT8BSRVjOxiedA391z0ym,324086
Tonight,Alice Chater,0.661,0.862,-3.637,0.0427,0.0163,0.000443,0.413,0.437,100.03,4ev0yUnmjaVx1EkbU0mVWB,188200
I Don’t Think I Can Do This Again (with Clairo),Mura Masa,0.58,0.434,-10.708,0.0479,0.00738,0.000129,0.105,0.536,139.082,3udJxehBCZ27wRO9gSum4B,221987
"Mozart a 9 anni - Elaborazioni per orchestra d'epoca: 1. Presto in G Minor (Londoner Skizzenbuch n.17, K.Anh.109b n.7 15r)",Salvatore Sciarrino,0.58,0.0774,-23.699,0.0715,0.964,0.283,0.0874,0.478,131.713,1OcNi9dIqYzE71XiButvR0,110000
Cecilia,Simon & Garfunkel,0.755,0.876,-8.867,0.0362,0.357,5.17e-06,0.22,0.954,102.762,6QhXQOpyYvbpdbyjgAqKdY,174827
No Stylist (feat. Drake),French Montana,0.765,0.704,-4.589,0.127,0.0215,0.0,0.227,0.498,147.055,04MLEeAMuV9IlHEsD8vF6A,192172
Dooh Dooh - Radio Edit,Barcode Brothers,0.693,0.924,-5.867,0.0532,0.000232,0.85,0.344,0.59,138.013,0IQXZCDqqLbQMdajD4aGva,235267
Freaking Me Out,Ava Max,0.429,0.553,-4.838,0.0668,0.458,0.0,0.0766,0.381,97.954,7uYIX9O9DY6l1D3HiwHR1J,192456
"Yo x Ti, Tu x Mi",ROSALÍA,0.78,0.759,-3.292,0.225,0.462,0.000868,0.143,0.579,91.952,7BlBVFwvbWvcwNcUarQmjk,201040
Feels Like $,PFFR,0.572,0.394,-5.938,0.285,0.192,0.00392,0.12,0.465,135.021,7LmU6ne3r67oKYvL1GqOLT,59960
Maru - Orbital Remix,Plaid,0.614,0.708,-9.797,0.0369,0.00522,0.752,0.427,0.0631,122.997,4A1rDiT3oLCS1xvRoNdzXQ,383902
Can You Understand,Renaissance,0.302,0.447,-13.358,0.0342,0.15,0.000353,0.114,0.113,96.879,1RW9rSF4Zd2DLiBFBZrcDl,592600
Le Voir Dit: Rondeau 18: Puis qu'en oubli,Guillaume de Machaut,0.284,0.0323,-30.385,0.0468,0.925,0.0,0.09,0.0699,68.876,36iLPmQWYlpgf8fD0OLBRP,111867
Hey Boy Hey Girl,The Chemical Brothers,0.632,0.92,-4.976,0.0531,0.119,0.508,0.114,0.363,127.001,7kXmJwrZGIhDaLT9sNo3ut,290493
Ladbroke Grove,AJ Tracey,0.902,0.839,-9.447,0.208,0.0933,0.0,0.102,0.727,133.989,7AODNxFNPnKaz4hURLzw5l,190537
Wiggle It (feat. City Girls),French Montana,0.806,0.76,-4.69,0.0465,0.0114,3.11e-05,0.126,0.554,101.965,4vfsh1GHqHZtTlkusq9j5E,172048
Doin' Time,Lana Del Rey,0.641,0.559,-11.132,0.0355,0.404,0.00402,0.0937,0.523,144.982,0Oqc0kKFsQ6MhFOLBNZIGX,202193
Liar,BigKlit,0.883,0.492,-12.118,0.354,0.339,0.0,0.166,0.59,94.959,53yWQ1FObrwPlVYCZdR6es,146526
Little Bit,Erika de Casier,0.717,0.484,-8.001,0.0264,0.209,0.000732,0.328,0.651,130.988,10b4AEecewD0ns6uXImPEt,286000
Sonatina: II. Adagio,Salvatore Sciarrino,0.278,0.186,-31.399,0.541,0.888,0.0249,0.327,0.109,95.389,6U7NjLjohZ6cDixlXQAwUS,140827
TEASR,Elheist,0.824,0.565,-7.605,0.117,0.0805,0.000576,0.12,0.748,143.516,6UZYLCba5iqwYgtJXYSqpn,152409
Im Nin Alu-2000,Ofra Haza,0.475,0.714,-7.82,0.0373,0.00993,0.0196,0.0779,0.568,183.991,5UD1jZiJ1AQUVSU51gFHiT,217493
Hello My Loneliness,Delaney Jane,0.691,0.737,-7.06,0.0715,0.0516,0.0,0.155,0.523,101.968,7s1pVBcyE3WAjIKDTu4q92,201176
Doing To Me,Astrid S,0.718,0.762,-5.006,0.0571,0.284,1.58e-06,0.0971,0.368,132.893,1ioqD1XvFGDomjXkKNCBQB,190098
Silk,QUIET BISON,0.644,0.46,-9.875,0.415,0.237,0.742,0.284,0.202,143.948,0wxxDoAQOJHQ4iIx600ptL,248333
I Warned Myself,Charlie Puth,0.488,0.311,-11.467,0.297,0.562,0.000548,0.161,0.579,184.112,3707IBa4HnS3zDDoWfeUBl,159783
Crush,Duckwrth,0.873,0.479,-6.683,0.222,0.656,8.13e-06,0.19,0.945,108.014,3aUviSdBVbsdmH406j5GZC,135013
tear myself apart,Tate McRae,0.478,0.504,-6.91,0.0305,0.162,0.0,0.119,0.309,86.048,57m2Kve0xnAgYVAPxMLKHS,168547
High Hopes,Panic! At The Disco,0.579,0.904,-2.729,0.0618,0.193,0.0,0.064,0.681,82.014,1rqqCSm0Qe4I9rUvWncaom,190947
Parachute,Caroline Polachek,0.2,0.174,-13.429,0.031,0.795,0.0017,0.0765,0.0374,74.665,3ha7MSw0EdLTuXG7MOWU7F,212297
Theme from Harry's Game - Remastered,Clannad,0.205,0.255,-13.78,0.0341,0.952,0.0192,0.115,0.0377,68.685,2hcxPnu5RljXH0eMOtctuF,149027
Tears - Remastered,This Mortal Coil,0.393,0.0103,-33.253,0.037,0.947,0.995,0.114,0.493,94.88,145XAIz6MDbvP88UTUUuPi,21947
Losing Grip,Avril Lavigne,0.534,0.888,-4.667,0.0972,0.00128,6.15e-06,0.0772,0.582,158.368,2LA4v20vokK9Uaj7WEEMaf,233760
Door,Caroline Polachek,0.684,0.438,-8.309,0.0388,0.222,0.0,0.262,0.253,123.997,5YIVVzQcJG7pFhyNo0Ytlh,322563
Did You Feel Me Slip Away?,BEA1991,0.518,0.443,-9.409,0.0375,0.0359,0.242,0.189,0.0963,92.005,72vdTrpBZ7DgUamDyU48i0,219333
Gone,Charli XCX,0.906,0.438,-7.574,0.0654,0.0425,2.18e-05,0.071,0.64,114.008,4UQeq4HUvC5uPEA9pWTgPW,245480
How Much Is The Fish?,Scooter,0.53,0.994,-9.629,0.0615,0.000592,0.00708,0.364,0.681,139.992,31JhTEAWmmhZIZTm40pQZr,227000
Indestructible,Robyn,0.645,0.738,-4.545,0.0296,0.0019,0.374,0.131,0.0998,119.929,1eNWvIQQ0mP67rQ6fLplfY,221797
Panini,Lil Nas X,0.703,0.594,-6.146,0.0752,0.342,0.0,0.123,0.475,153.848,6fTt0CH2t0mdeB2N9XFG5r,114893
How Do You Sleep?,Sam Smith,0.477,0.682,-4.931,0.0925,0.153,0.0,0.0763,0.345,110.567,6b2RcmUt1g9N9mQ3CbjX2Y,202205
"Les Ombres errantes: 25ème ordre, 4ème livre",François Couperin,0.388,0.018,-31.205,0.05,0.996,0.898,0.189,0.18,74.638,7MJYe6cZRdd3Y2AWuZxOWl,228832
Prelude I,Jacob Heringman,0.256,0.0076,-40.119,0.0648,0.986,0.794,0.0741,0.671,103.059,67XhdhzqyCsRho5NOgU0Hh,24693
When I Get Up,Tim Heidecker,0.452,0.497,-12.373,0.061,0.562,0.001,0.285,0.77,190.571,7E1bFRbnZAYonHAL5GrGlA,158677
Steam (Part 1),Archie Shepp,0.232,0.441,-14.604,0.0452,0.135,0.0441,0.668,0.237,147.655,2CsJmLlPQI24vl9OGY0BkS,307267
Crucifixion Voices,Terry Riley,0.187,0.0766,-19.987,0.0368,0.46,0.979,0.391,0.0397,101.961,3YrSRU1HKiCPFnjAbZ7Rr7,347907
Alucard,Swan Meat,0.332,0.828,-9.466,0.0588,0.191,0.851,0.123,0.0559,129.984,2ibgB5zU0EGIh1x7JM8AMD,312000
"Moj Lule, Xhan o Moj Lule - Gjirokaster",Lab Polyphonic Group,0.223,0.227,-7.175,0.0349,0.961,0.0,0.0983,0.119,102.65,4W3YIfWajKA48VVz0nySba,191280
Whip My Hair,WILLOW,0.552,0.98,-4.676,0.254,0.00159,0.00552,0.438,0.668,162.961,4Dio1t8RHzLv1nfPJTSZyP,195440
Prelude III,Jacob Heringman,0.266,0.00197,-42.287,0.0573,0.974,0.895,0.0817,0.0,104.891,3ataWltOu52D474mdIaGsZ,22107
Unfolding,DonChristian,0.205,0.304,-11.007,0.0356,0.352,0.35,0.137,0.0329,117.554,1ADmh0vnbY0EXlheDlx1H7,266000
Leaf Fall,Claire Hamill,0.2,0.114,-17.659,0.0421,0.779,0.0015,0.117,0.131,131.872,5OEsJsmEPp0HI87TgZp92r,276409
Raindrops,Basement Jaxx,0.581,0.916,-5.352,0.0412,0.00434,0.0193,0.0598,0.483,125.945,7KwhOs8qcEWcXJP0eKR4Bm,249547
Gabriel's Oboe,Ennio Morricone,0.233,0.195,-17.202,0.0461,0.96,0.914,0.0793,0.0675,61.211,6opPrJUpq4Pl5c84eCwLmo,134133
House Every Weekend - Radio Edit,David Zowie,0.791,0.574,-7.061,0.0673,0.324,0.0,0.102,0.406,122.053,2rWisQk9hxSap9ZtTx45sv,182767
ASHES,HDMIRROR,0.27,0.925,-4.133,0.0524,0.0184,0.856,0.113,0.0943,127.022,68vngAOTRsviMGv2cb3AjX,265748
Boyfriend,Tegan and Sara,0.686,0.771,-5.697,0.0705,0.0254,0.000138,0.107,0.393,123.985,0euRZeEKvdbptPpebwDtLc,167253
He's a Pirate,Klaus Badelt,0.465,0.687,-10.964,0.0495,0.0206,0.929,0.121,0.13,70.507,08QaHlMPWuO5PUxjl61bXn,90427
"Gawain, Act I (1994 Revised Version): Act I: Entrance of the Green Knight: Now I shall test his strength (Morgan, The Lady)",Harrison Birtwistle,0.305,0.348,-16.196,0.0473,0.95,0.00743,0.95,0.104,84.371,4R5Pa2qKtMfZSIdzFpOmLu,67227
Destiny,Burna Boy,0.545,0.723,-5.182,0.326,0.195,0.0,0.119,0.504,109.767,6E6FNzunXMiidgxtnyX61d,197387
Call My Name,Cheryl,0.696,0.94,-3.498,0.064,0.00272,1.34e-06,0.0987,0.7,128.005,5o7TXypciBNWzWLE6Hdzuz,207976
Gone Sailing - 2022 Remaster,Soft Machine,0.309,0.131,-24.695,0.0766,0.96,0.341,0.0966,0.12,174.339,2QHbwrQE46GHNKrz0t7WRD,59187
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,0.746,0.787,-6.373,0.12,0.214,0.0,0.0669,0.607,95.005,543bCW2ruMPmxUBWirQ3MR,206187
Back In The Days,Delete,0.778,0.975,-2.277,0.278,0.0146,0.0286,0.1,0.244,155.028,632SuL1hpvESOjpOPeaNjK,247694
Missed Exit,CEP,0.354,0.0167,-28.389,0.0728,0.953,0.789,0.109,0.0851,74.324,4rtIuLBO0niRPgt5v0Hezk,134364
Shawshank [Feat. Tate Kobang],Denzel Curry,0.849,0.678,-6.679,0.229,0.0154,0.0,0.111,0.224,128.97,3LfJqKVZjV32xmnJC2kNUC,127800
Puddle of Love,Mason Ramsey,0.623,0.821,-2.395,0.0279,0.244,0.0,0.196,0.939,97.955,1qRncOkqxSUunvHEZByPrk,159507
Under the Stars,Cat Music Dreams,0.319,0.0345,-24.637,0.0339,0.99,0.897,0.111,0.0387,106.014,77fX2S9z3cvleAERLRLVxP,179751
Valkyrja,Merely,0.171,0.409,-12.299,0.0408,0.634,0.000527,0.39,0.055,116.863,3mhvfgxVWEI5i47eEQgBUi,97762
Want Me Back,BENEE,0.541,0.646,-6.451,0.226,0.558,0.00145,0.101,0.47,84.832,7IoV5eGR85wUOXjninlmNu,234040
Cradle Song (Russian Jewish),Kitka,0.399,0.0653,-21.43,0.0327,0.967,0.000399,0.0624,0.0996,110.009,3Ozq5BPY75ba1vXp7fAr4G,227413
Swag Flu,KILLY,0.736,0.676,-6.531,0.146,0.129,0.0,0.147,0.345,150.012,0D3m8Q30hzGyJKH7LiPZl2,181862
Glad He's Gone,Tove Lo,0.795,0.595,-8.073,0.0698,0.0823,0.0,0.128,0.502,91.025,6aIAuKNU8JlVaTmoCYYN6U,196348
Started Out,Georgia,0.679,0.766,-7.905,0.0425,0.00782,0.000263,0.0883,0.299,99.998,7l5Z2grGc47Hs84Zm7XobV,221622
Bags,Clairo,0.742,0.546,-7.694,0.0315,0.172,0.38,0.115,0.868,104.996,6X3FZtz4cKU2MKSQlGG9ZG,260520
OT Bop,NSG,0.936,0.479,-5.842,0.27,0.112,0.0107,0.0663,0.479,100.999,6bAirj2qDf0agxdMuIdq1p,185760
Anthem X,Lil Texas,0.629,0.986,0.423,0.151,0.0218,0.13,0.425,0.0789,100.012,69al4s8pKbOqcndqVbgOia,196800
Payback,Delete,0.552,0.929,-1.625,0.545,0.129,0.000363,0.706,0.173,159.72,0UDVMvCdkiUUlhexSbwIK7,196500
A Billion Stars Above,RAM,0.473,0.987,-4.585,0.105,0.00159,0.76,0.652,0.0922,137.99,2lUom7fxkna5qZq9z9YR8H,263635
Twang,Mason Ramsey,0.523,0.876,-2.446,0.0486,0.137,0.0,0.355,0.566,107.903,6fLQhfYnGuBTbQDdqMZFRL,177720
Ambrosia junkie,Team Rockit,0.559,0.78,-7.925,0.0485,0.595,0.000508,0.314,0.468,129.36,2FSpU368BQkZmnRAtWYdRR,197800
Powerline,Phangs,0.622,0.576,-6.238,0.0249,0.0706,3.7e-06,0.365,0.354,140.048,30cekz86l6nQgyJDLKinw7,204860
I Start Counting - 2,Basil Kirchin,0.311,0.316,-15.706,0.066,0.836,0.345,0.23,0.223,173.174,5KRxb0utDe1NrAoxAVNCQI,321745
Chin Up,Sharda,0.84,0.815,-5.483,0.162,0.282,0.0419,0.583,0.909,135.023,2RTlxZxGOlSYZxb2SnmFuZ,279200
museum of mudbeams,myouçeej,0.207,0.293,-17.386,0.0613,0.0186,0.631,0.774,0.195,75.301,1qcfedTeCgRe7ELMvCkYkV,131122
drubjnk song,Slugabed,0.763,0.459,-8.011,0.0539,0.164,0.795,0.65,0.225,96.032,3bVtT5Lpum6O7LM0sCSiXP,192579
The Strength Of A Tiger,"I, Tay Stayness",0.818,0.715,-6.287,0.0429,0.223,0.000253,0.265,0.946,133.359,5iMLW69RfhDTClx7N1nnfS,271746
The Lake,Thomas Adès,0.156,0.0258,-18.942,0.044,0.981,0.112,0.262,0.0469,166.314,3G89P05PuaN8hJ7MaCgbSC,77720
Aute Cuture,ROSALÍA,0.747,0.643,-6.991,0.178,0.0756,0.00894,0.355,0.538,99.981,7dQFpbs34ufIEU745DVclf,147626
Crazy,Seal,0.633,0.858,-7.42,0.0473,0.208,0.0112,0.0655,0.724,102.561,6Vz7vzOpCwKeSQlfViibuY,356520
Avalon,The Bryan Ferry Orchestra,0.605,0.464,-10.954,0.112,0.991,0.9,0.0818,0.941,83.725,0dnYw5ygLOOBO0RF9SVWsl,143080
Firelink Shrine,Motoi Sakuraba,0.198,0.0651,-21.076,0.0387,0.888,0.786,0.108,0.0587,69.88,5wMuoGtApuXOcooT3RZxb2,177307
For Organ and Brass,Ellen Arkbro,0.0589,0.00743,-18.617,0.0556,0.862,0.926,0.121,0.0357,69.557,3jNSmIwnmHNj5LzoKi7gwB,1208806
AUSENCIAS,NOIA,0.452,0.475,-10.877,0.0888,0.918,0.169,0.11,0.088,132.013,3itB8GLm0yg8zGmuKosceu,276912
Anger,BEAN,0.258,0.51,-10.753,0.0318,0.695,0.444,0.116,0.0725,128.4,1crlYnpgs3QwMDsHQyqI4U,133398
Personal Hell,Kim Petras,0.692,0.724,-5.487,0.106,0.0012,6.43e-05,0.244,0.293,126.023,42YK2C6gVonEJHpa7dGByb,220952
Bounce Back,Little Mix,0.781,0.854,-4.118,0.0745,0.0263,0.000211,0.344,0.41,103.021,2RCZhvj9bhe4f14caGBsYu,160552
Xilitla I (Oliver Cristophe Leith),Eusebio Sánchez,0.436,0.00164,-33.947,0.0954,0.943,0.864,0.0801,0.157,90.754,0Vxnof1DJlLfSRsa3kVBdz,192733
Play,Betta Lemme,0.818,0.81,-6.603,0.134,0.153,0.000432,0.288,0.495,127.0,7cecQmUxf0aPFmkfpXTAEI,196627
2 Times - Original,Ann Lee,0.849,0.875,-6.236,0.03,0.0947,0.0213,0.364,0.898,130.013,4IiKITgHYaHrF1zUlcTyVH,230933
Win Win (feat. Tove Lo),Diplo,0.739,0.677,-4.642,0.0502,0.0101,0.0454,0.0483,0.488,123.99,5UkGTxXOzeQgQmQknAYooV,255484
Sunset And The Mocking Bird - The Queen's Suite,Duke Ellington,0.418,0.126,-18.577,0.034,0.784,0.832,0.0807,0.228,74.253,67BBamyXyAaWjHtJwEBPDa,227427
Gimme,BANKS,0.759,0.621,-5.233,0.0866,0.508,4.49e-05,0.265,0.612,120.053,14BPKhtTkVVTwSfWslRJW9,219493
Ellos,Ceky Viciny,0.754,0.939,-1.953,0.0387,0.124,0.00281,0.293,0.853,122.006,5rUBXQtJibSHwjCbEUcQmq,175082
Euphoria,Loreen,0.475,0.667,-5.477,0.0358,0.1,0.000105,0.0513,0.0995,132.126,6aJVSu9oPmRIgw8xPT66wV,212640
Les Barricades mystérieuses,François Couperin,0.153,0.0104,-37.655,0.0426,0.982,0.916,0.0894,0.275,130.524,2XqvLbQiIGzVHSDGeKynlc,130653
Thelonius,Thelonious Monk,0.588,0.325,-14.823,0.0337,0.892,0.52,0.101,0.545,93.909,5yc2APVVniRhfzEEdhVh7x,197640
Nothing Like The Oldschool - Continuous Mix,D-Sturb,0.493,0.977,-4.718,0.0541,0.0355,0.145,0.0815,0.346,100.036,5gVJk9pRLZc2x9WDrTj39A,212640
Hold You Now (feat. Danielle Haim),Vampire Weekend,0.284,0.457,-9.239,0.0382,0.0817,0.0,0.413,0.293,86.88,15E2P2ToSLNnZvcOEQra6a,153787
Tel Aviv,Skeler,0.481,0.648,-8.779,0.17,0.41,0.742,0.102,0.111,134.144,45KsTd0ZqKlgw0fNc8oyC5,216913
Spring,Flume,0.548,0.482,-5.5,0.259,0.046,0.177,0.117,0.184,60.352,7CGeuhEwxg4edNO5eLLCxm,217401
The Fatal Hour Comes on Apace,Henry Purcell,0.295,0.0302,-22.016,0.0468,0.994,0.011,0.0659,0.183,169.874,7hy2ImFgfUAZGY7VSxuvjh,255827
GECKO,COUCOU CHLOE,0.683,0.607,-10.666,0.118,0.00724,0.892,0.116,0.147,170.098,6wEdrAyiVEj6ltiwnMW9Bu,161000
蝶々になって,Daoko,0.785,0.641,-4.25,0.0276,0.588,0.0,0.325,0.648,95.987,1Z9mxI875EJS1mJrF7ho8Y,242992
All Day And Night,Jax Jones,0.567,0.765,-4.107,0.108,0.317,0.0,0.14,0.541,121.924,5naYe7rLMZcLfO1DKg48MK,169467
Russians,Sting,0.441,0.392,-12.032,0.0333,0.456,8.72e-06,0.163,0.16,115.531,0mr11BVGZ9AAy24whnsQu1,238467
Borderline,Tame Impala,0.621,0.873,-3.067,0.0369,0.0406,9.1e-06,0.0824,0.873,97.96,5hM5arv9KDbCHS0k9uqwjr,237800
Dog War,Meuko! Meuko!,0.685,0.939,-5.103,0.353,0.192,0.905,0.141,0.151,107.193,18yL4bA4bp6znXi73W6dg6,160769
Kaval Sviri,Bulgarian State Television Female Choir,0.142,0.256,-16.03,0.0447,0.882,3.18e-06,0.365,0.11,179.208,6xemJUeG7BV9RA5eYUx8iH,131760
Aura,Team Rockit,0.427,0.757,-6.16,0.0316,6.99e-06,0.956,0.7,0.216,139.972,5FvmQaAXYjjBtdOpe8SgQO,289976
You've Got to Have Freedom,Pharoah Sanders,0.402,0.557,-12.786,0.0358,0.0904,0.883,0.173,0.648,130.5,1sxRufRKMer2iOqxUkdhN4,606160
The River,AURORA,0.561,0.749,-5.364,0.0381,0.116,0.00879,0.112,0.254,94.971,4msep1zKokoPGNXinFiUSY,217853
Meet Her At The Loveparade (Radio Edit),Da Hool,0.794,0.645,-7.926,0.0981,0.00079,0.903,0.0487,0.141,131.973,6Lg1GvSIe1Tr1EHsM76aEj,213440
Con Altura,ROSALÍA,0.882,0.689,-4.027,0.124,0.39,0.00325,0.0501,0.746,97.963,2qG5sZ7Si6sdK74qLxedYM,161627
Randall and Hopkirk (Deceased) main titles,Various Artists,0.476,0.459,-9.585,0.0307,0.205,0.156,0.0796,0.677,130.459,3OU1D370fLnkVV1vl3APh0,47613
Water,Palmistry,0.789,0.335,-9.625,0.0355,0.767,0.00746,0.104,0.595,100.025,5vOMYxa5kI4yc6fH7hV3qP,229548
MIRROR ME,KÁRYYN,0.179,0.159,-15.269,0.0374,0.99,0.0262,0.0848,0.0397,107.669,2IUx6lsnqeB21yvauEHN5A,211773
Lay a Garland,Robert Pearsall,0.163,0.1,-25.62,0.0398,0.993,0.59,0.1,0.0335,131.071,2RVewNPfueZ2vopns0YN4Z,194280
Silence - DJ Tiësto's In Search Of Sunrise Edit,Delerium,0.602,0.847,-5.998,0.0588,0.00887,0.0308,0.0622,0.0871,138.037,2jAjkmZIKwV5VOBiZ3qUUL,235200
Chorus,Holly Herndon,0.648,0.403,-15.677,0.0422,0.242,0.841,0.145,0.238,121.867,1xy53q4YBlrjITp2ER0uRN,354642
it's not u it's me,Bea Miller,0.776,0.568,-6.419,0.125,0.0204,1.69e-05,0.078,0.749,150.901,7cLm450e9XaPrEZTSTsfwU,194526
Dub-I-Dub,Me & My,0.658,0.96,-6.251,0.0474,0.066,1.38e-05,0.154,0.961,136.005,3hVq58fi4oFSlf5LxnAOgA,205000
"Bach - Musical Offering, BWV 1079: Ricercar a 6",Anton Webern,0.175,0.0273,-27.027,0.0434,0.948,0.876,0.0499,0.0397,116.461,71pIVToleCdWgHNdgwTeEb,463627
Movies,Weyes Blood,0.086,0.362,-8.932,0.0347,0.636,0.404,0.106,0.089,71.398,6f4itfvWzS59Qu7JWorhxn,353732
Blue Moon,Billy Eckstine,0.308,0.121,-22.404,0.0392,0.943,0.948,0.0862,0.128,80.485,2D2d6XAFOZXX60ilVwgYFR,190813
Bring,Randomer,0.978,0.481,-7.51,0.242,0.00785,0.643,0.0903,0.197,124.998,5n4uWPmWMbg4XLzrkck25e,294874
TWIT,Hwa Sa,0.679,0.813,-3.367,0.199,0.122,2.83e-06,0.263,0.584,136.067,6qyz1KOlGJsKYJ4ZsRmRSD,190786
Why,Carly Simon,0.658,0.852,-9.058,0.0493,0.00567,0.000484,0.341,0.73,92.346,6Wux9SSXcUdgwG7TItGTJz,248491
"Organ Sonata No. 4, BWV 528: II. Andante [Adagio] (Transcr. by August Stradal)",Johann Sebastian Bach,0.384,0.0414,-23.019,0.0378,0.992,0.897,0.0684,0.0618,71.224,5Pl2CXDkaP6WEnJ0bpKGOm,326520
Pure Water (with Migos),Mustard,0.682,0.559,-5.545,0.127,0.174,0.0,0.344,0.137,202.015,3j84U36KvLeXNDPv4t5pI8,192471
Pointillistict,Lorenzo Senni,0.81,0.323,-13.071,0.0906,0.00897,0.871,0.0558,0.59,100.008,34psbLiYloOZpfjzZghRjx,193000
In Complete Darkness (Original 93 Mix),Fat Controller,0.527,0.964,-5.966,0.0439,2.81e-05,0.804,0.154,0.735,154.829,37TDx6kfvk3ckBWfqXU9dN,358377
The Great Canon of Supplication: Ode I in English,Psaltiki,0.664,0.191,-16.311,0.0706,0.926,0.0,0.186,0.468,113.179,0kQGQHSnNZqYEIPVMaZgCx,118773
Mine,Slayyyter,0.69,0.734,-6.377,0.0316,0.0933,0.00531,0.137,0.459,124.033,18uOcUO5mNEYHHigeXPgQM,159013
"12 Fantasias for Violin without Bass, No. 3 in F Minor, TWV 40:16",Georg Philipp Telemann,0.395,0.0484,-19.062,0.0575,0.994,0.0319,0.0822,0.461,135.872,7pdGGME0X4wpW0qGv9snOk,344265
Club Bizarre,U96,0.708,0.738,-9.509,0.0422,0.0678,0.0928,0.354,0.545,160.554,4fHug3zCanK33sdvticISi,300227
bad idea,Ariana Grande,0.847,0.579,-5.314,0.0719,0.0268,0.0545,0.102,0.569,137.998,5Il6Oe7lr5XM7A0cWbVQtr,267107
Ain't Talkin' 'Bout Love - 2015 Remaster,Van Halen,0.518,0.938,-5.964,0.0416,0.021,0.000305,0.288,0.71,139.138,6fybp4N6eW3bsFAvARxyVe,227800
Everytime,Britney Spears,0.398,0.284,-12.852,0.0337,0.966,8.57e-05,0.116,0.114,109.599,0dRhSF9LV0HR8Jwd3MMMKJ,230307
"Sanctus, JD 6",John Dunstable,0.238,0.0737,-24.109,0.0546,0.994,0.131,0.0515,0.1,119.0,5jlEc6MceTTBMqaN2AxLQq,271040
