danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.72,0.825,-3.627,0.0424,0.689,0.0,0.103,0.789,100.008,4epHhc2lvhFYzMlKA23O3G,206550
0.812,0.643,-8.625,0.331,0.144,0.0,0.112,0.248,110.134,5zHtM9Tni0UWp8MhJhv9B8,215536
0.483,0.753,-8.937,0.0832,0.425,0.000142,0.257,0.42,115.102,15VRO9CQwMpbqUYA7e6Hwg,261093
0.528,0.816,-5.63,0.0472,0.0473,0.0755,0.295,0.196,173.931,5i7ri97dLTnhCYNPmczKre,317770
0.843,0.833,-4.218,0.213,0.633,0.131,0.106,0.891,147.021,3uOsQiKfoJTDuQQWzCXKKC,119484
0.365,0.924,-2.419,0.0477,0.00841,0.6,0.323,0.14,173.937,4FnD7qYcuLMfUQyo53GAXp,251382
0.438,0.805,-6.237,0.0624,0.00255,5.69e-05,0.0842,0.564,113.253,2aoo2jlRnM3A0NyLQqMN2f,240800
0.715,0.739,-12.549,0.0363,0.00537,0.881,0.103,0.143,120.995,6Diwqd0hI8ychp5DL5QVMb,263785
0.525,0.929,-8.56,0.0784,0.262,2.9e-05,0.0754,0.556,163.503,4ItljeeAXtHsnsnnQojaO2,262748
0.867,0.115,-12.284,0.218,0.343,0.886,0.0772,0.369,82.016,2EZY5Sg9XBmLqXBnAHINK6,163143
0.508,0.404,-11.092,0.0788,0.664,0.0,0.104,0.129,81.713,6c7N5N7amAOpeMykjlovjI,216865
0.592,0.643,-7.486,0.354,0.169,0.0,0.0395,0.699,195.558,6scuKWBHQvZFSWTrSPiqyT,244467
0.652,0.711,-5.215,0.0373,0.123,0.0,0.161,0.701,67.085,5Y0VZ9KaZMRgQ8uLCtCmbm,214560
0.416,0.649,-5.271,0.0385,0.655,2.82e-06,0.12,0.474,112.482,2W0AJEbIC2vdZTV2nVSAsg,188851
0.624,0.876,-3.374,0.1,0.0735,0.0,0.327,0.781,99.943,0afhq8XCExXpqazXczTSve,170827
0.499,0.799,-3.422,0.0292,0.182,0.0,0.076,0.477,101.988,1kWUud3vY5ij5r62zxpTRy,255645
0.148,0.908,-7.336,0.117,4.66e-06,0.614,0.0723,0.0707,93.888,4cJhBmeJ7KiBeuy7oxRnZ3,243360
0.772,0.613,-6.185,0.0692,0.281,3.52e-06,0.206,0.862,87.022,5Ys68FZdQFcFw7IgkANVoM,184121
0.447,0.317,-6.989,0.0315,0.729,0.0,0.304,0.427,94.403,4coMc7eT8g8oWCk4Z388wk,205173
0.705,0.97,-3.28,0.259,0.241,0.0,0.289,0.766,99.97,43kQu3PTBhCZCNhzaufAaX,194138
0.773,0.859,-4.913,0.0747,0.0855,0.000187,0.914,0.813,118.459,3S2R0EVwBSAVMd5UMgKTL0,357267
0.598,0.339,-8.876,0.0358,0.606,0.103,0.098,0.29,63.995,0gD78Kq5CLlc1j9e9G8Ejv,485227
0.586,0.635,-8.301,0.0433,0.0206,0.913,0.432,0.0518,150.012,1u0IrqFzYFIwcKnqnwlgnu,160052
0.661,0.765,-8.818,0.0297,0.0757,0.801,0.0919,0.237,123.011,38CngZw3TDi2XDCQPMKHJR,228293
0.438,0.309,-9.022,0.0565,0.886,1.78e-06,0.21,0.314,137.705,2SSwlNE1JKhLZAjtKjxg6O,203000
0.568,0.569,-6.013,0.0329,0.0004,0.102,0.342,0.266,72.991,5v8aEcHcaJIGYpfVVPtJjI,193080
0.76,0.838,-3.828,0.0529,0.547,1.3e-06,0.0664,0.745,93.05,5hEM0JchdVzQ5PwvSfITeX,210323
0.703,0.757,-3.612,0.05,0.617,0.0,0.106,0.696,82.008,2eAZfqOm4EnOF9VvN50Tyc,221747
0.861,0.678,-4.157,0.0536,0.253,2.42e-05,0.106,0.723,103.994,1bRpSCFv6P2OUhciByeRYR,259600
0.569,0.319,-12.85,0.0277,0.853,0.000151,0.128,0.32,79.997,5byXSKd7QOHtVMOiptklBD,173716
