danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.408,0.973,-2.403,0.12,0.00171,0.0,0.413,0.617,179.938,0K3bwnfBeZX0YsQ0gPl1Ia,241200
0.579,0.46,-11.005,0.0364,0.917,0.671,0.106,0.366,85.991,1OVZWu23DBSqVMQqG4WNIL,91395
0.534,0.87,-3.078,0.0425,0.000334,0.0,0.241,0.462,126.019,0JiY190vktuhSGN6aqJdrt,215160
0.598,0.488,-10.905,0.0307,0.741,0.779,0.0945,0.396,144.977,1oofwLaSk4kDIWAYT5ZGK7,287393
0.835,0.558,-10.687,0.25,0.486,0.0,0.0749,0.365,110.023,2cgFnyitndYEXtyb08FNcg,192209
0.568,0.367,-8.15,0.0318,0.768,0.0,0.279,0.41,121.074,4VuKGQiCzE5BdSdvp6Hjoh,320267
0.451,0.279,-9.953,0.03,0.783,0.0,0.103,0.424,74.786,07qlsG6DYRLBbovwca9Vbr,177886
0.509,0.707,-7.903,0.411,0.0554,0.0,0.107,0.521,176.175,2JjooFXakFgn8U2IlwuxdF,158218
0.666,0.903,-2.181,0.0436,0.325,0.000202,0.178,0.498,119.984,5lFZ5VvKO5EQolgTs3Yd3Q,217013
0.505,0.981,-3.779,0.156,0.000212,3.75e-06,0.588,0.256,120.052,04K2bMi2vyOBwxr5EjDq5O,249747
0.619,0.543,-7.862,0.323,0.0418,1.87e-05,0.213,0.199,97.772,6upGfSemospsvZNbd031IE,239151
0.534,0.911,-3.086,0.0852,0.15,0.0,0.0986,0.624,93.767,58gqyeFXhOttZW3yetJGPN,188800
0.717,0.671,-5.077,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054,6f5ExP43esnvdKPddwKXJH,160657
0.474,0.118,-22.932,0.0296,0.844,0.00946,0.113,0.658,98.095,4GV5wmFd0G5NW8lQK9aVvP,238000
0.501,0.405,-5.679,0.0319,0.751,0.0,0.105,0.446,109.891,2TIlqbIneP0ZY1O0EzYLlc,182161
0.687,0.2,-13.241,0.0317,0.889,1.27e-06,0.122,0.244,134.993,2wfuK8f77bybu2MWiQ5Evn,201440
0.48,0.48,-8.635,0.0267,0.0306,0.0,0.267,0.485,156.017,2Fg9s3nz9UNex16qPkJRuJ,268867
0.344,0.219,-15.187,0.0653,0.636,0.0,0.114,0.183,78.341,6Hp57iv0VLGgmWyOFx8iUm,159430
0.748,0.269,-8.563,0.0518,0.708,0.0,0.325,0.444,110.936,08crHzztyzDKFuIUqvveKL,187629
