danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.261,0.179,-10.423,0.0368,0.848,0.0,0.113,0.229,77.473,0mqDhUDKwpnDvIFoQYR524,265377
0.82,0.948,-3.154,0.092,0.00374,0.943,0.068,0.551,123.991,1gAPybZsQhhr7L8WgDneyj,225750
0.626,0.42,-8.421,0.096,0.128,2.85e-06,0.106,0.11,87.939,3cukJYbn8l0cWy91bESw2H,187499
0.855,0.664,-7.11,0.0607,0.165,3.97e-05,0.0937,0.626,98.015,5Y9fnynLlIvqtM710MHzfz,226800
0.681,0.839,-12.527,0.0387,0.00809,0.932,0.0992,0.584,123.993,75ZMW4hqyXQ2TgF6pL1Giz,484645
0.477,0.873,-4.946,0.0355,0.00471,0.00589,0.0813,0.611,161.948,1Dp7ASSZVVOPJ85VdLpjOX,302360
0.906,0.732,-10.005,0.259,0.523,0.00253,0.129,0.96,149.997,3U5JNUbwycdHKJniU0Drgw,92447
0.755,0.925,-3.977,0.257,0.0213,3.32e-05,0.101,0.804,125.06,0d5f6gzzW1Pgx9uJsLrSDP,174034
0.589,0.453,-10.039,0.0302,0.644,0.000372,0.0557,0.119,79.984,1u2CN23PR0T2BHfXRNHwnM,268311
0.65,0.492,-13.563,0.0485,0.000503,0.0,0.0492,0.352,119.946,1vut7ck9zbdflzBMZIuX5i,129370
0.568,0.597,-9.631,0.0405,0.801,0.17,0.309,0.197,105.415,40XwcZVS7Oh7VvBuOWrgkk,273059
0.515,0.841,-4.983,0.0352,0.00647,0.0,0.135,0.765,135.925,3IBO8J40fBC3n1KW8NhVap,237133
0.517,0.887,-7.637,0.0732,0.000244,0.00258,0.151,0.531,166.008,1hPKSQuvfLlPeIu8xhRyTf,321162
0.638,0.945,-3.949,0.0463,0.259,0.152,0.0931,0.966,158.341,3B7mbMbbcuKdfWssAcyvG8,135853
0.648,0.308,-11.729,0.04,0.886,0.0774,0.124,0.198,76.997,0j1Ia2lQWrcXrQZI4AdJlk,184638
0.773,0.741,-7.878,0.377,0.245,0.0104,0.211,0.407,163.997,54Z6QHvhYWyF74iBCco3ob,128781
0.752,0.722,-4.207,0.104,0.0108,0.000536,0.0753,0.612,169.131,73JCugW0hKqzGYGwXHVzQ4,197187
0.775,0.327,-7.241,0.0557,0.841,0.0,0.0821,0.595,91.05,4cktbXiXOapiLBMprHFErI,189486
0.31,0.991,-3.769,0.316,0.000132,0.085,0.0969,0.0395,140.071,3U9gogDStAfWxSm91PJuxb,298533
0.482,0.726,-6.375,0.0486,0.197,0.0,0.464,0.558,83.007,6RSBBvhrP0KvkpaUSMPI11,331613
0.771,0.604,-10.093,0.0599,0.00731,0.801,0.0771,0.366,128.004,6DAL0NTqDYsP4ZEyoSnWBv,344053
0.449,0.721,-5.965,0.0392,0.166,0.0,0.0999,0.493,178.141,2xwsf9FuFINP1X4FTsqZ7Q,215915
0.457,0.451,-6.997,0.029,0.517,0.0,0.0928,0.185,74.923,4EHWldZTas5KUyFtT0rQlY,205667
0.749,0.463,-8.433,0.0842,0.21,0.0382,0.338,0.189,90.035,60ynsPSSKe6O3sfwRnIBRf,226987
0.609,0.409,-8.881,0.0383,0.534,0.0,0.11,0.186,114.128,6ovO3FOX127WFAd8WS78Om,190986
0.764,0.672,-4.274,0.0655,0.0166,1.06e-06,0.103,0.594,150.021,3Zcv9IeYgCvEhxFTfsduaQ,180813
0.707,0.492,-7.294,0.0766,0.63,0.0,0.434,0.693,112.017,0ZvUsnbKDlp7YmfWpl4sHt,188571
0.689,0.782,-4.204,0.0328,0.354,0.000978,0.254,0.737,115.193,4NblnSpVq41LNPLC6nOCV4,229910
0.605,0.794,-7.113,0.041,0.0392,0.729,0.0795,0.305,159.997,51GhF88FDei5gDU1H3p8Rz,166478
0.368,0.619,-4.989,0.0411,0.0304,0.0969,0.167,0.51,89.013,1D9HQactbJoUudf9B119Y5,231600
0.653,0.809,-4.057,0.0474,0.194,0.0,0.165,0.55,92.213,5CLGzJsGqhCEECcpnFQA8x,210773
0.898,0.699,-3.781,0.112,0.336,8.61e-06,0.232,0.64,131.99,7qsxihKKrjn9kE7rKMwmw6,213989
0.656,0.674,-5.473,0.0269,0.00242,0.0,0.255,0.369,120.001,1NNAI51EuoRWw1ydX1zV7S,225067
0.356,0.995,-3.366,0.172,3.26e-06,0.000196,0.403,0.167,183.985,63GJDO5mxiFP1ZQEpdUWRd,243913
0.573,0.711,-6.268,0.0406,0.0114,0.0,0.328,0.47,105.006,46HNZY1i7O6jwTA7Slo2PI,226198
0.866,0.563,-6.965,0.102,0.187,0.0,0.0888,0.309,127.905,1S1bZVv8sqYY39S6KWchuk,161668
0.285,0.908,-4.601,0.0705,0.0318,0.00909,0.311,0.669,159.756,4OROzZUy6gOWN4UGQVaZMF,252733
0.352,0.424,-10.131,0.0394,0.733,2.3e-05,0.0664,0.141,127.047,2Q6RiCAKOrxRYtvl9pcpjY,302951
0.473,0.386,-9.494,0.0534,0.572,0.0,0.0724,0.298,119.796,0BxKZikii9efSIodiQALJ5,322941
0.439,0.894,-6.396,0.0517,3.3e-06,0.0211,0.0905,0.591,96.106,7jClgHzR5JG69gar7rVMoX,176600
0.713,0.452,-9.638,0.0295,0.841,0.0038,0.105,0.235,102.963,0pdKRp2sUthTPe7RLWpPqQ,218883
0.593,0.711,-9.977,0.0442,0.342,0.752,0.105,0.191,92.975,6OAVJ8DAAQOi3q60SNYb4N,597403
0.683,0.555,-14.659,0.0378,0.249,0.827,0.111,0.13,111.993,7D6pcC9xM2HJl9A9XrHbYA,137143
0.79,0.674,-9.943,0.0566,0.0122,0.000444,0.113,0.199,101.996,7B0Ws6HzpNf62iB7S3yNeC,207640
0.482,0.245,-20.932,0.0334,0.919,0.841,0.107,0.574,198.026,6kk5sXo2LCjxpnxAiuiYdN,60000
0.441,0.896,-4.979,0.0906,5.28e-05,0.0152,0.115,0.449,165.081,4YczLxtXC35D5KniPzAzPJ,268921
0.448,0.659,-4.939,0.0428,0.544,0.0,0.102,0.222,139.398,6888RSXXqR73yuzJSMjJWG,226393
0.7,0.709,-5.006,0.0838,0.0048,0.0,0.029,0.624,122.019,1gv4xPanImH17bKZ9rOveR,202960
0.623,0.93,-5.285,0.0324,0.0141,1.64e-06,0.138,0.287,120.119,4wfyFIRnxdIN0v4OGtXcX3,205613
0.443,0.387,-6.726,0.0328,0.639,0.0,0.0759,0.467,120.511,7qzDSqVVZy9gEpjRrbuhs4,252557
0.713,0.626,-2.891,0.124,0.111,0.0,0.126,0.39,158.08,2DJpq0JJbGiBuQ3S5TDpPD,173306
0.817,0.587,-6.502,0.108,0.052,0.00165,0.185,0.352,140.062,2XaInsPPUkZRkY4uFJ3AHK,209143
0.796,0.5,-7.21,0.425,0.118,0.0,0.155,0.227,75.012,1nX9KhK3Fff27SnrIor2Yb,255560
0.72,0.724,-7.219,0.0463,0.0418,0.0,0.0597,0.747,89.984,7xU32nQT8XfyZG4xcMzb5L,213804
0.574,0.123,-13.959,0.196,0.894,0.00111,0.118,0.117,115.431,2ktg2oZDyFAX3iY1QNkXl5,98027
0.597,0.837,-6.518,0.375,0.00427,0.00115,0.839,0.447,126.342,1xNcBAoUw8Hz6LqK2jt4Ff,171360
0.787,0.00485,-11.684,0.0504,0.8,0.403,0.229,0.0,115.06,3KHbBpwYdlM6uKJirvCrEA,50348
0.402,0.924,-3.867,0.159,0.00106,0.0,0.0786,0.445,169.996,72vsd9IEBIonmvIY7TEjXK,204053
0.59,0.00399,-36.497,0.242,0.996,0.946,0.0683,0.182,74.381,7kTVe6XhIveidvkt8nb7jK,219760
0.727,0.86,-2.712,0.0641,0.00443,0.0,0.0718,0.747,133.995,1T20tqHKrePjszGOdbFOEd,154000
0.642,0.518,-7.615,0.0367,0.0259,0.0,0.0341,0.191,111.051,7AKjyI5a7yi4nCFRmVGsZk,244118
0.679,0.48,-8.548,0.0775,0.64,0.0,0.0315,0.837,155.014,4WwziJRU6hAdI4j8C0j0QI,280357
0.868,0.359,-12.52,0.221,0.567,0.00247,0.109,0.184,96.015,6WAwP41Q36Tz2OqjohB4tC,180006
0.762,0.984,-9.523,0.101,0.00818,0.969,0.0705,0.963,115.974,6ZT36tXEKY2vvTCuNK4fi1,63168
0.578,0.694,-5.351,0.0706,0.0112,0.0,0.102,0.268,129.921,7gY3cyGcB2wnk2xDXiA0pe,220850
0.618,0.938,-3.442,0.0456,0.0179,0.0,0.167,0.875,91.455,3ZOEytgrvLwQaqXreDs2Jx,269000
0.647,0.683,-10.026,0.0798,0.714,0.0318,0.153,0.727,93.318,5OLNQbQ2o2JRL7zEERZqOm,111957
0.77,0.309,-15.535,0.171,0.00866,0.00455,0.147,0.706,147.383,0tAYOwUUWdvtd4J9dUtLAw,224240
0.283,0.988,-7.017,0.111,3.75e-05,0.728,0.0712,0.133,90.791,6ckozbGmOusAnLT2LEbERy,284507
