danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.776,0.808,-4.501,0.117,0.0297,0.000127,0.103,0.494,123.988,0z8hI3OPS8ADPWtoCjjLl6,184104
0.617,0.741,-3.97,0.0311,0.131,0.0,0.0772,0.306,118.984,1D4PL9B8gOg78jiHg3FvBb,236267
0.148,0.133,-35.982,0.248,0.788,0.857,0.112,0.0297,65.265,4Rl9M2fGPoxqqFoFlbenxz,63880
0.452,0.909,-3.977,0.0366,0.0313,0.0603,0.23,0.805,124.623,1v2zyAJrChw5JnfafSkwkJ,225787
0.905,0.53,-7.801,0.284,0.386,8.61e-05,0.182,0.505,136.045,2zomOrcP6peq11Zr13DRQT,184412
0.774,0.452,-8.009,0.274,0.0719,0.0,0.262,0.346,149.922,1crx4pAM3V4KD6EV4ydFC4,104255
0.893,0.565,-4.74,0.268,0.0754,0.0,0.0375,0.808,81.009,1xMvdOFQaql3EBkHmuh2TK,156432
0.34,0.651,-5.29,0.0368,0.1,0.0,0.126,0.283,89.377,6gfL0o8vcKsgQETVB5w1uP,268400
0.301,0.842,-7.598,0.0783,0.14,0.658,0.111,0.127,150.539,6CtxOxEcKLHt7MYAP5pvpl,199322
0.456,0.946,-5.572,0.0567,3.62e-05,3.98e-06,0.336,0.405,90.094,4lDhUegBfuSYmL2REY3P8y,183750
0.641,0.538,-10.398,0.245,0.0901,0.0,0.205,0.296,79.038,6v1sy4kEyzRkrE9KLiD9Dz,212715
0.812,0.496,-5.969,0.297,0.271,0.0,0.0955,0.55,109.979,3z4CGd63tpUn9a6oQSG0CI,241293
0.562,0.73,-4.217,0.0299,0.00364,0.521,0.111,0.618,142.974,4uTd5yr4lOZewawDmOpQib,359173
0.812,0.472,-6.806,0.0603,0.26,0.0,0.285,0.457,92.951,7cM9Kqto11iJpY2RwgVJSq,240013
0.533,0.363,-7.626,0.0328,0.897,0.0,0.0961,0.198,135.956,5e6Mukej16riHefBUXzg9o,222794
0.885,0.286,-13.284,0.392,0.653,0.000102,0.101,0.199,97.495,2NMQM9hR5uzeRg98eiNKsz,147931
0.651,0.454,-8.808,0.0489,0.173,0.0,0.1,0.132,110.027,6e9NA7CWZwoT6V2c91fw8q,178920
0.523,0.919,-3.771,0.0383,4.58e-05,4.5e-06,0.168,0.385,110.017,1VGoxAxuw65pJW0ATxjFpu,194147
0.5,0.292,-8.554,0.0323,0.746,0.0,0.188,0.37,145.879,1almCHdsfikRPfVB9VrEdT,185200
0.715,0.712,-13.36,0.04,0.552,0.926,0.11,0.629,112.551,36AhCvv8NAVPr0eNsv2PrW,56533
0.805,0.909,-6.539,0.0505,0.00657,0.926,0.0674,0.635,122.004,3wbUuzRdemeNJuqnMNBC9m,536046
0.571,0.0274,-20.274,0.0649,0.948,6.43e-06,0.322,0.087,124.209,0gOz9JUXsaKVzLTSmFDtdo,316556
0.956,0.745,-4.753,0.12,0.206,0.0,0.0615,0.912,107.075,04KTF78FFg8sOHC1BADqbY,228240
0.501,0.666,-6.486,0.326,0.48,0.0,0.13,0.426,135.441,2WXyBlJYptmmNUcWn2qYV9,248003
0.38,0.43,-12.564,0.0288,0.546,1.71e-05,0.188,0.547,82.204,1QbOvACeYanja5pbnJbAmk,197813
0.426,0.228,-10.552,0.0322,0.198,0.13,0.0832,0.0822,147.994,01Q3OyB05mLgH01fpdAMPP,343253
0.694,0.496,-14.222,0.0329,0.0139,0.00356,0.0644,0.799,103.372,0DMRKqrpd0QO4RWiEdMib0,257187
0.645,0.705,-5.008,0.299,0.000813,0.0,0.128,0.376,137.133,51rXHuKN8Loc4sUlKPODgH,229670
0.534,0.392,-7.636,0.0267,0.649,0.000227,0.0948,0.163,90.379,28cnXtME493VX9NOw9cIUh,216533
0.757,0.832,-3.674,0.229,0.127,0.0,0.167,0.53,180.05,2fOjendzUzepHwR9QrVyYF,182400
0.482,0.473,-9.427,0.034,0.186,4.35e-05,0.111,0.145,72.992,6Q9rogwuZ8rQNMYUYFCx2I,206301
0.577,0.224,-11.479,0.035,0.867,0.0,0.112,0.53,153.758,0WznLeFE5gOyBU8mUyDx4d,217373
0.681,0.632,-8.702,0.0312,0.0106,0.577,0.106,0.383,121.991,2Of6ELgB41N4REAnQvbpwD,418658
0.641,0.919,-4.324,0.0447,0.0365,0.0,0.253,0.654,104.996,15IFcZRm4OUEQsIK2LADpq,181547
0.526,0.826,-3.806,0.0427,0.00388,0.0,0.059,0.733,139.995,7s4SQ94oDrWtjAvg4Uk1Ou,198347
0.905,0.884,-4.076,0.236,0.111,8.31e-05,0.107,0.588,135.048,6X5OFBbrsHRsyO1zP7udgr,186027
0.426,0.584,-5.293,0.296,0.0383,0.0,0.188,0.272,193.437,5mMjkxGijQB4JZallYrkOW,193213
0.549,0.754,-4.011,0.0407,0.000675,6.24e-06,0.0912,0.828,139.052,4JHg4nNYUJQ5HULcCmI18R,189693
0.33,0.954,-3.541,0.268,4.98e-05,0.0,0.0966,0.355,174.922,7qLbPd5yhm0Vne45PXPabV,233679
0.436,0.902,-4.861,0.0517,0.00125,0.0,0.347,0.53,171.997,06q6bjg5MsQyBlVRJcZbiv,162120
0.813,0.601,-7.552,0.116,0.189,0.0002,0.426,0.855,118.981,0WKmVAD4VWk5EdTyCFILi4,177479
0.519,0.625,-5.909,0.0482,0.349,0.0,0.121,0.21,120.103,65gLJGey4u4KFFqoC5fzFJ,203187
0.148,0.0722,-25.217,0.0427,0.944,0.148,0.115,0.0467,87.882,5pjDwtMPly0cNMbuGXhUOI,478573
0.477,0.934,-2.884,0.0803,0.0015,0.0,0.243,0.55,128.037,6FqBQIRLJMluO10YtDbETv,211119
0.558,0.727,-7.347,0.0811,0.000255,0.013,0.118,0.766,177.372,65GQ10fuDOjbZG1NIyqmA6,196281
0.557,0.358,-7.095,0.0329,0.731,6.14e-06,0.163,0.201,72.877,1saZ5nnaCWBjOK09izEK9c,229383
0.661,0.743,-6.224,0.0292,0.0758,0.0,0.318,0.577,139.959,4n19ZKX7g2DtVBccLO60OH,135432
0.537,0.518,-5.987,0.188,0.118,0.0,0.146,0.427,132.527,25qhnRgAcImQWfaswqRkwN,236032
0.752,0.865,-2.746,0.0709,0.44,0.0,0.0706,0.756,98.002,16unHNVNLbMabVCh2E0nl8,247520
0.8,0.362,-10.313,0.544,0.505,0.0,0.121,0.792,130.14,68Ijc4fPmT3P5BN6Vrl2s2,54840
0.294,0.988,-3.397,0.175,4.55e-06,0.00408,0.908,0.217,194.002,0dE3izdmhx1wfvO63ohzdw,175000
0.338,0.34,-12.049,0.0339,0.58,0.0032,0.116,0.197,82.433,0RO9W1xJoUEpq5MEelddFb,482830
0.556,0.57,-9.472,0.0393,0.0118,0.000526,0.198,0.304,126.01,6rLqjzGV5VMLDWEnuUqi8q,165227
0.464,0.936,-2.472,0.0964,0.0441,0.0592,0.131,0.273,150.044,56x8xKnAXBdAJVK3AgdsFm,201600
0.376,0.821,-3.974,0.104,0.0785,0.0,0.0823,0.331,120.462,5zUQZjVB6bfewBXWqsP9PY,199453
0.412,0.434,-13.3,0.0483,0.509,0.00735,0.24,0.505,94.84,12cMYRYTV2RTz4YTlOpgSu,339067
0.506,0.946,-3.651,0.0401,0.000291,0.0121,0.215,0.502,97.012,1gb6XmjKLsdILbHNiDzrtV,237291
0.573,0.739,-5.455,0.0581,0.212,0.0,0.175,0.363,120.077,4RVtBlHFKj51Ipvpfv5ER4,174062
0.739,0.14,-16.376,0.0503,0.992,0.067,0.12,0.589,61.007,7Af5aQzfpm2VxnCFsy6Tkx,104262
0.74,0.488,-7.664,0.27,0.234,0.0,0.241,0.584,149.042,7rvyVWja33WG9R97oeJAjx,120133
0.489,0.758,-6.491,0.0297,0.000678,0.49,0.092,0.435,112.113,7Jh1bpe76CNTCgdgAdBw4Z,371413
