danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.67,0.891,-4.181,0.17,0.000907,0.0,0.131,0.176,100.021,44NWKA3vUBO6TL1Bon1W0k,124114
0.598,0.673,-10.431,0.0693,0.0422,6.9e-05,0.289,0.59,102.034,40NRm1ZLvZpUSCUXAGGZ8J,197693
0.54,0.327,-8.364,0.0371,0.591,0.0,0.356,0.343,80.578,6MfsJgg1gTRxLbmh0ZZYi4,211373
0.759,0.73,-7.985,0.0516,0.145,3.06e-06,0.11,0.74,115.007,7eBqSVxrzQZtK2mmgRG6lC,268434
0.47,0.422,-7.474,0.0522,0.177,0.000216,0.0879,0.218,149.505,0L6UCE1Y0KX3MF2AtxlntI,230961
0.854,0.806,-8.262,0.0886,0.0209,0.0542,0.0703,0.637,124.927,20on25jryn53hWghthWWW3,157890
0.826,0.816,-4.608,0.0683,0.0201,0.000939,0.127,0.598,96.042,0dDboLfmRNsTBscy4j3Rnl,188480
0.625,0.753,-6.057,0.0362,0.344,0.000519,0.0709,0.851,160.0,42HahcHBg5yyIPkRIqEK19,209000
0.576,0.782,-4.825,0.0296,0.00778,0.0,0.285,0.355,141.153,0ADG9OgdVTL7fgREP75BrZ,224031
0.728,0.806,-3.766,0.0623,0.0531,0.000301,0.153,0.698,168.084,3gD4J3RUHy4OUuZ3qAiaiG,217547
0.885,0.685,-6.429,0.0627,0.33,0.0,0.148,0.937,99.954,2JSmxLqt8h7ZpJJkfuLJvK,144000
0.784,0.692,-5.634,0.0337,0.23,1.07e-06,0.325,0.962,103.008,6IW6mD0OrfYXXkTgdLBQ83,208493
0.222,0.78,-7.673,0.0806,0.0539,0.00157,0.105,0.061,126.079,0O4U2P3IC45czsbqeBVZIa,354134
0.12,0.138,-15.538,0.048,0.994,0.686,0.11,0.043,67.894,4GnVpbnWjHFrpXjAcPHvqM,256573
0.402,0.102,-21.048,0.0401,0.938,0.000278,0.112,0.307,132.248,50LqU2nhdE3fmWOuqOjpjz,227200
0.673,0.735,-4.733,0.0457,0.286,0.0,0.242,0.754,115.744,4ofwffwvvnbSkrMSCKQDaC,201287
0.683,0.753,-5.564,0.0317,0.0577,0.00208,0.357,0.389,120.03,40sRwFjfrRnaTdYPJIg4CP,234947
0.642,0.647,-6.312,0.428,0.517,0.0,0.0649,0.664,120.749,5WnfnSpuNEGXyEt78PBA6d,217867
0.463,0.484,-13.259,0.0395,0.456,0.0,0.125,0.513,77.521,6hLqEJg2GnnDG4W0Y64hyD,212405
0.324,0.708,-4.646,0.0356,0.0142,0.0,0.133,0.144,155.76,1rXQLRlZfNTj8uaxIsEZQi,295307
0.663,0.962,-5.863,0.0621,0.00548,0.0177,0.0743,0.566,136.026,4o42t3TaRGPdLvVpoKoj4x,212092
0.583,0.831,-5.048,0.0396,0.0369,0.0,0.137,0.317,92.003,6m3mgLyy6TmhuHkKG5M9Go,250267
0.883,0.599,-5.551,0.248,0.0177,0.0,0.179,0.413,142.976,02RCbjb9czvQKNGBmEmWob,183011
0.375,0.409,-8.713,0.037,0.205,0.0,0.1,0.196,127.854,4SykS8RWkF6eK6xeua7XLP,259991
0.506,0.897,-4.632,0.26,0.146,0.000451,0.0868,0.525,188.03,3kSXn1osC89W8JcPLozTzs,219000
0.829,0.617,-10.659,0.0961,0.192,1.04e-06,0.167,0.524,134.974,6U7djZwgd80KBwY3n1zVab,116558
0.638,0.664,-6.58,0.0369,0.0685,0.0,0.117,0.411,144.955,3lbtBnZlPTSlcQjgvUGsmu,176000
0.546,0.744,-6.892,0.0333,0.000181,1.17e-06,0.114,0.206,127.977,3bWLBVZz9Vur3OLy05SpfF,213027
0.526,0.749,-6.964,0.0283,0.023,1.76e-06,0.0692,0.421,99.982,754kgU5rWscRTfvlsuEwFp,208680
0.722,0.65,-8.205,0.0455,0.14,0.000232,0.357,0.518,127.916,3eZReaCGyJoXQvXCN9HuG9,174854
0.856,0.548,-6.658,0.205,0.0977,0.0,0.115,0.312,130.063,44gZSuP2nPUvab9ajBrnVM,199987
0.595,0.723,-8.256,0.0349,0.047,0.0286,0.0995,0.272,108.043,29jtZGdgpE2lWm2mkIt6HS,223640
0.55,0.699,-6.585,0.0405,0.00098,0.0881,0.108,0.346,127.974,3nXdyPNooPDYRCDYcOmstj,312787
0.816,0.45,-11.571,0.448,0.0867,0.0,0.126,0.425,83.507,2hzeDi6y5AeYhWWxmEzYyV,160589
0.74,0.613,-4.88,0.145,0.258,0.00372,0.123,0.473,75.023,3ee8Jmje8o58CHK66QrVC2,166606
0.546,0.505,-10.682,0.432,0.421,0.0,0.0782,0.472,123.967,1vTLeTrxrowinoXVSOUxlS,259383
0.581,0.163,-16.612,0.0547,0.926,0.861,0.116,0.448,88.101,3hY3MPL9hAITPgVfiVlL5K,347773
0.805,0.802,-7.076,0.1,0.162,0.000883,0.0698,0.531,127.924,7861kBrZ5aw7o4NfggcyYW,292400
0.443,0.831,-5.618,0.133,0.0167,4.37e-06,0.875,0.694,177.367,5dN9Upo0JC1qcgHJuUHKUN,224453
0.248,0.4,-9.149,0.0257,0.738,0.00329,0.114,0.164,61.34,3mvWvLqMFq3w5ZZ0YAGffY,192973
0.72,0.197,-12.494,0.0361,0.981,0.00187,0.1,0.284,120.024,18V1UiYRvWYwn01CRDbbuR,197360
0.662,0.877,-4.185,0.112,0.0874,0.0,0.273,0.545,110.905,3K1y89UHuAEZbpiSPbtAae,180853
0.612,0.961,-3.078,0.333,0.107,4.17e-05,0.0413,0.867,129.873,1mnqraQ8oV8MX92rdOFLWW,238760
