danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.787,0.889,-3.786,0.0397,0.00462,0.423,0.0665,0.394,114.091,5lWFrW5T3JtxVCLDb7etPu,247360
0.294,0.745,-9.138,0.0461,0.05,0.125,0.676,0.347,134.364,5Z8EDau8uNcP1E8JvmfkZe,210107
0.547,0.084,-25.871,0.0869,0.993,0.962,0.0912,0.402,180.062,3P0IpouIQbWJgcbM0x3ECA,125242
0.567,0.369,-8.054,0.0273,0.615,0.0,0.29,0.405,99.889,5l28zOwBgTp5VxUIlJJXsZ,175143
0.319,0.771,-3.095,0.0338,0.0229,0.0,0.222,0.34,197.992,4Rnel0cmjX9BkWf4tUfvzd,231355
0.689,0.557,-8.792,0.313,0.0426,1.74e-05,0.0814,0.286,97.47,2KbvMB2RxdaNPmMCsC27Y4,137846
0.448,0.649,-5.925,0.0434,0.418,0.0,0.0976,0.575,195.925,4CLPNURPcKztF9RRdcWLGP,199640
0.45,0.352,-11.733,0.267,0.649,3.8e-06,0.249,0.408,102.679,6oEVnWKgPqIEPc53OYDNqG,252747
0.783,0.343,-14.511,0.152,0.544,0.527,0.116,0.12,109.977,2m6gXK0wUm98UAwkq7o7bb,89481
0.536,0.768,-5.948,0.0347,0.00433,0.0,0.114,0.545,77.217,2Bs4jQEGMycglOfWPBqrVG,228133
0.547,0.984,-1.949,0.329,0.00289,2.84e-05,0.35,0.429,150.415,49PusnlAw9zshcQzWux0sI,179200
0.514,0.701,-8.615,0.112,0.101,0.0,0.0313,0.582,140.467,4L7kJdz7aF09wX91yNiKfx,149067
0.853,0.606,-4.596,0.0713,0.0561,0.0,0.313,0.654,94.759,3WkibOpDF7cQ5xntM1epyf,227600
0.747,0.74,-4.325,0.191,0.0165,9.94e-05,0.101,0.552,176.059,2D3z17LBMJ2HEHeBFFjTLi,158800
0.528,0.403,-8.413,0.302,0.89,0.0,0.0747,0.145,110.143,26uK3w9Ic477RtUhurIFJy,151000
0.831,0.743,-5.08,0.0576,0.121,0.00087,0.103,0.474,119.997,1n1IpGakUruGXqG2rjec7r,184609
0.407,0.95,-6.998,0.193,0.000103,0.191,0.516,0.246,191.741,4d8iN5Re3A6UOYVxZAbJ7v,265750
0.598,0.59,-11.465,0.103,0.0141,0.788,0.112,0.0639,122.046,4yJRkaRQkhYzjfaQ8mdxao,255738
0.319,0.99,-5.133,0.124,3.5e-05,0.0357,0.254,0.206,105.551,66SvhAHu1tggvj5wwOwxDR,343920
0.61,0.554,-8.301,0.13,0.428,0.000322,0.157,0.231,106.818,45uwWuhL7nNamSKw3DnpQl,173411
0.203,0.0895,-19.755,0.0404,0.971,0.0213,0.108,0.115,173.451,2WMyu5IYgxEuCd6xgFgJrl,173533
0.602,0.968,-2.685,0.112,0.0024,0.0117,0.389,0.444,150.015,1e4VuceNyO8lxcrA0nX0MW,172800
0.552,0.669,-6.161,0.0269,0.000314,0.0,0.113,0.26,119.98,6vso2EYZ4G8uVAKHvBQr9E,253787
0.86,0.907,-3.321,0.0407,0.279,0.693,0.0648,0.786,138.045,0Bo5fjMtTfCD8vHGebivqc,168880
