song_name,song_artist,id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Keep Me Under,Voicians,7Kjhb1rej2hooxP8EezcMF,0.319,0.992,-2.386,0.0574,0.000451,0.802,0.279,0.242,173.988,204500
The Truth,Hiraeth,54wOZuJ3eByRGAtei6GZkf,0.492,0.899,-4.893,0.039,0.00507,0.579,0.153,0.133,173.996,278635
Cold Green Eyes - Edlan Remix,Edlan,4SsmJX7b5vn7ftV4agCYid,0.416,0.814,-3.874,0.0383,0.0059,0.0466,0.144,0.0339,173.962,247224
Sky,T & Sugah,6lyZee9DeTPNjfcOrqijrS,0.303,0.955,-2.933,0.0877,0.0025,0.826,0.242,0.108,173.982,279280
My Remedy,Joey Illah,7oChc0pN8J269yT8U7ODls,0.559,0.904,-4.479,0.0673,0.00185,0.000106,0.844,0.0881,173.982,266035
One And Only,Matt View,0TIyJyIkfkyuZgPDU9G8eC,0.525,0.824,-5.019,0.0356,0.000204,0.814,0.121,0.0886,174.023,276180
Be There - Kove's Warehouse Remix,T & Sugah,0Pih0OSvOaGx39R68Svqf4,0.515,0.924,-3.476,0.0943,0.000225,0.0253,0.0778,0.163,174.014,288276
With You,Itro,0IV9K0ON8mop4NwG0uBk2O,0.609,0.861,-5.136,0.0641,0.0243,0.168,0.19,0.131,173.993,250823
Before The Dawn,Natus,1rrOq67EeeY3tC5k8prbRm,0.533,0.904,-4.039,0.0596,0.0003,0.872,0.314,0.134,176.501,334904
Deep Blue,Hiraeth,36npkNGiDEV2AKsIF7cx0n,0.535,0.935,-3.688,0.0477,0.0222,0.853,0.0764,0.338,174.025,292500
With All Your Problems,Matt View,3J6zBDOg7fHW8JvnGRr2l0,0.564,0.748,-5.295,0.0409,0.00237,0.902,0.111,0.24,174.951,257931
Memories (ft. Voicians),Jon Void,3gPY9dYK5KgC7XEbPmDkCn,0.233,0.945,-2.839,0.0542,0.000914,0.458,0.213,0.222,174.2,347000
Go Back To The Jungle - Mandidextrous Remix,Maduk,3rcDPF71FcvqU3gxRAld0l,0.554,0.966,-2.416,0.0469,0.000578,0.828,0.112,0.164,176.0,272000
Sundown Sky,Natus,1g6Bb09a64Nyknrs1k6tu0,0.522,0.822,-6.369,0.0412,0.000392,0.801,0.696,0.0455,170.986,353708
Digital Life,Natus,1LFSftLIZqZlXs0rrlzxWF,0.488,0.909,-5.562,0.0496,0.00262,0.808,0.119,0.229,164.998,374275
Lalala,Itro,5xunUrVjmyyPl0SFGc53C1,0.53,0.8,-5.289,0.0347,0.00668,0.0329,0.422,0.114,86.991,270000
