danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.803,0.531,-6.718,0.0934,0.0196,0.0,0.11,0.474,119.983,09h95OxqZUvAtQ8T3tcEuK,192562
0.862,0.736,-6.166,0.0611,0.0258,0.0184,0.13,0.412,115.976,4MQIj5VZjyLTX9st7UkzuK,188276
0.55,0.918,-4.153,0.126,0.0279,0.000826,0.107,0.88,120.346,0nSBJxNn7yrIT9q5fAhCuU,131796
0.42,0.97,-3.825,0.053,0.00209,0.863,0.177,0.245,173.98,4gAozcAJ1Kt9XMCPMkOrv4,196897
0.494,0.274,-10.15,0.029,0.897,0.000241,0.107,0.0835,134.29,6mYdnKt43uGw3gmtOz4yQi,251853
0.575,0.868,-5.004,0.0319,0.000207,0.00294,0.0584,0.804,128.069,0WHtcCpZnoyFlQg3Mf2cdN,196947
0.391,0.0074,-26.528,0.0565,0.991,0.906,0.0962,0.361,60.667,4hCbA5XOPwCzNvUWKztpD9,182960
0.738,0.758,-6.439,0.13,0.273,7.15e-05,0.0923,0.84,82.482,4QNeJpSsJkI3R1LhCrSSZG,289768
0.751,0.523,-12.676,0.0606,0.109,0.0,0.0624,0.969,134.978,2afWZUtuyjgIr6pjZCUeyw,221227
0.604,0.534,-10.212,0.0232,0.163,0.944,0.357,0.48,89.999,1w1BjZPV4QMgngLYT1ISBH,226640
0.595,0.47,-8.722,0.0261,0.368,0.00136,0.0947,0.318,81.008,6Tv21RLLA1Dt6OtPNz8QDq,276827
0.0787,0.021,-33.813,0.0401,0.96,0.937,0.167,0.114,73.893,4GFaeRPZrr9DiL9kbsWukp,230000
0.535,0.469,-8.373,0.0279,0.306,0.0,0.106,0.364,127.903,6We0vDEqzeNq0OBwQAjqfp,264707
0.754,0.852,-8.123,0.0598,0.0995,0.849,0.0661,0.604,101.673,07Vp8mqbrIFtj7YgPMnoCE,350788
0.394,0.268,-14.613,0.0317,0.945,0.00491,0.0832,0.344,129.618,4RDnPnHfPPQfVaezIGg2HL,215827
0.602,0.423,-9.248,0.0348,0.752,0.0,0.275,0.45,113.944,3Pj9gTUfcQEBe1glNWNwF9,237053
0.408,0.0651,-33.02,0.0376,0.97,0.944,0.0947,0.208,83.739,7c2CN4p20ptpqkERAJPdI1,182312
0.854,0.622,-5.586,0.0571,0.099,0.0,0.186,0.962,134.974,5CE7xrOYfWRcaAfS1xMs8k,297760
0.656,0.32,-15.261,0.0348,0.495,0.0614,0.0765,0.573,91.368,25e6EHX8YyC5hsaipxdHCz,269800
0.434,0.171,-17.576,0.0539,0.956,0.464,0.0713,0.122,108.934,72ciDHSJpySEosWXHYSPjn,226017
0.711,0.936,-2.262,0.154,0.00994,0.903,0.688,0.686,172.061,38m03Qe21pXt6QgtVSc1Wg,295814
0.829,0.677,-5.697,0.105,0.581,0.0,0.0746,0.521,97.001,77MTxdiJfkAb3XjT1tvBEI,187906
0.566,0.953,-6.504,0.0393,0.0546,2.86e-05,0.0637,0.887,124.284,0zABw1PtGYHsU4VDpDZsra,131360
0.83,0.685,-7.411,0.339,0.486,0.00169,0.112,0.654,140.117,7BddBbputuakWLcF4qMfsG,222187
0.678,0.597,-7.173,0.0319,0.734,0.906,0.11,0.199,139.942,4itSXBmRCtfXcifQOWsAGI,252429
0.565,0.973,-3.814,0.145,0.0366,2.18e-06,0.372,0.639,75.989,6sScdgu1m1tey48IoeMDkt,275427
0.707,0.923,-3.957,0.0521,0.128,0.000437,0.273,0.842,108.049,5QhBKPqsnX1uY9fZNaAtZg,203000
0.808,0.982,-6.588,0.0311,0.0585,0.00689,0.35,0.961,124.999,4fazGt0v2v2zkzddQOcDZD,228140
0.677,0.644,-8.42,0.0265,0.514,0.0,0.702,0.907,136.653,44QZCcZOomoec6FVJI5Qb2,252825
0.492,0.87,-3.413,0.0437,0.0883,0.0367,0.146,0.285,174.095,3tgl9j4vYGbkpmoSgFNKXr,229009
0.82,0.0839,-21.796,0.322,0.919,0.775,0.0629,0.374,146.012,2DrL2Po56Y0c7PnKxWAwg9,105205
0.66,0.799,-7.69,0.108,0.296,5.59e-05,0.0539,0.447,85.031,13NgN62rPMi8lH5TRT1nTn,175024
0.384,0.278,-14.241,0.0519,0.982,0.819,0.118,0.152,97.908,4kbkPBv8nmbEJUbLbO4AGi,160931
0.527,0.735,-3.24,0.0498,0.0158,0.0,0.103,0.711,155.126,3G6SMlksLlVjC17npbXQCA,229893
0.491,0.866,-3.553,0.0357,0.00781,0.403,0.123,0.231,172.073,5dlEb6A6LxmO9qVtBzjr0v,297309
0.551,0.819,-4.489,0.0525,0.0103,0.0437,0.153,0.846,174.917,2DrGEaqoruCSn0FffWCf5O,137760
0.463,0.446,-7.3,0.0713,0.569,0.0,0.0883,0.684,167.693,5Srwk2wx8WrzJDAJvoGwBs,223000
0.66,0.427,-11.775,0.0391,0.226,0.878,0.21,0.205,94.93,0VO6XzbJNFi5bHNztE60EC,282947
0.93,0.629,-9.997,0.0502,0.0901,0.0,0.0383,0.841,130.021,0LruQ6MLbs4pB2RrKTrG2r,217365
0.73,0.961,-6.617,0.0378,0.305,0.879,0.118,0.184,129.024,4HDyneNRqT6teWLfG5CQ1x,213851
0.804,0.766,-7.962,0.0407,5.22e-05,0.391,0.128,0.0952,122.992,5eWN2iptw5Mcvg3cYeBykD,258000
0.529,0.864,-0.569,0.0445,0.00444,0.205,0.351,0.323,75.002,5KR3mHlBnMrnVfLLSbJaLh,233008
0.777,0.615,-6.051,0.304,0.254,0.0,0.0916,0.771,180.212,69DFhSiOu425c4hSA7KIQJ,152000
0.612,0.807,-2.81,0.0336,0.0495,0.0177,0.101,0.398,124.053,2QjOHCTQ1Jl3zawyYOpxh6,240400
0.648,0.779,-8.011,0.0368,0.0795,0.0,0.15,0.941,135.088,0a2mNOeL31O4Th9VaBxW1O,192227
0.525,0.353,-10.985,0.0322,0.596,0.0,0.0964,0.241,92.001,1JzJFYOlNFISoz28z5t20x,237747
0.843,0.665,-6.633,0.0505,0.271,0.0,0.138,0.745,105.012,5OFN1k3cPjt8ghUpz3TWdc,222000
0.564,0.928,-3.397,0.0619,0.735,0.934,0.0468,0.278,173.966,3q8f1VZOYTankTgdSDwyF4,356864
0.424,0.437,-8.588,0.0355,0.962,0.336,0.664,0.131,174.127,0jZO7p0nBUi9VHedWUBS9l,208173
0.73,0.424,-11.519,0.339,0.355,0.0,0.182,0.822,96.323,5hJrohNHXu8d5PsLl5w62N,101773
0.309,0.95,-3.435,0.0936,5.67e-05,0.0093,0.184,0.163,135.596,0EuIuyFbEzBge6fetxj9Hh,166659
0.646,0.896,-4.255,0.0376,0.00103,0.08,0.221,0.242,140.032,5CZo2k6Ru1wJYbcvQVaoub,262805
0.564,0.875,-4.013,0.052,0.443,0.000158,0.0787,0.61,139.991,4apXjryIqMFUdOjWMM6zZp,171842
0.652,0.974,-2.979,0.0536,0.216,0.798,0.149,0.216,174.021,5pv9XNFAbauTOKxpdB8ww7,380376
0.683,0.607,-10.666,0.118,0.00724,0.892,0.116,0.147,170.098,6wEdrAyiVEj6ltiwnMW9Bu,161000
0.732,0.949,-3.786,0.039,0.209,8.68e-05,0.18,0.909,135.047,0mZFpwfvddZ6bxVZjrotq9,188680
0.667,0.365,-11.311,0.0514,0.905,0.0178,0.717,0.461,151.476,4SSmMEnCKgFskYnzxCKwKH,225327
0.439,0.935,-3.4,0.0402,0.000193,0.0464,0.649,0.0704,174.019,7ndClRcSimJK6UHezcHdrX,259310
0.569,0.117,-19.886,0.0648,0.949,0.92,0.0962,0.322,139.96,0Z4O3yTtmqdLXzCxSX9XPt,192009
0.395,0.0093,-29.614,0.0379,0.992,0.942,0.0934,0.181,81.681,73WwLsqz0sZQucwkeyybus,178588
0.577,0.729,-14.376,0.0319,0.0953,0.928,0.184,0.177,126.988,5xcunlfaZvD9BDQsLONI7A,567107
0.546,0.998,-4.784,0.0784,0.000158,0.733,0.297,0.398,148.004,3fKM3pwT4nH8Pz3oL9RMQq,447568
0.792,0.775,-5.535,0.254,0.0424,0.0,0.735,0.66,130.013,4pAQg3GwWNrjW6Hlnax3i3,155077
0.489,0.853,-3.628,0.332,0.123,0.0,0.201,0.488,172.797,7b0s7YrkrtOuGPODdOOSc4,154435
0.566,0.766,-7.257,0.0483,0.00987,0.0972,0.128,0.164,87.022,70e7QpFavBc7KXRdNXIVCo,278621
0.794,0.658,-2.32,0.0322,0.59,7.54e-05,0.0726,0.94,125.278,395AdUoSeKRo4kuayitrap,169243
0.784,0.616,-8.438,0.228,0.284,0.0,0.162,0.903,90.153,6mpuDzCaRnSsYhZciXATrE,208000
0.107,0.994,-4.592,0.11,0.025,0.263,0.434,0.0662,161.534,0vZXXAHrZljSp8uFmHpDP6,114817
0.618,0.674,-10.431,0.0389,0.751,3.7e-05,0.0453,0.908,103.362,5JpbJ08db8r4eUTTw8Saey,156507
0.663,0.231,-13.2,0.0335,0.965,0.938,0.109,0.111,69.932,19E1JLs1HA9og77YVVLenA,109714
0.496,0.255,-17.984,0.0283,0.937,0.845,0.0909,0.0809,141.961,2oC9Ah7npALCCPW5DC1gob,120000
0.529,0.0696,-27.679,0.0668,0.993,0.97,0.0894,0.3,72.409,0yBjtQdUb2T281UIF5hUMU,150000
0.648,0.331,-7.966,0.0317,0.646,5.54e-06,0.125,0.445,140.817,0ZuBdjAcpu1ZovvOPWCLSd,205587
0.615,0.38,-10.677,0.0356,0.107,1.6e-06,0.114,0.363,139.846,3eSe6xsgvVM7nd55klcGN4,192000
0.286,0.558,-8.942,0.0349,0.13,0.0,0.0897,0.219,105.336,3aqw5pXFKTDmuEdtzVTPoO,542381
0.446,0.638,-7.613,0.0259,0.455,0.0509,0.123,0.602,106.678,4otgikW2Wtbh1r1BQjsRwU,309251
0.809,0.755,-5.837,0.171,0.291,0.000294,0.458,0.851,94.031,4NRhgNtobQUhWQM0kOez7a,287680
0.691,0.498,-4.997,0.0304,0.896,0.0,0.422,0.883,109.917,2tkhFja4dhsUMcRev2zGdT,200400
0.722,0.484,-10.175,0.0611,0.904,3.42e-06,0.108,0.44,139.88,7iH6cflAGYwR82sNMZiGuq,198653
0.384,0.0414,-23.019,0.0378,0.992,0.897,0.0684,0.0618,71.224,5Pl2CXDkaP6WEnJ0bpKGOm,326520
0.136,0.00215,-33.623,0.0455,0.925,0.817,0.095,0.0343,67.749,6lgDvkxcWNnCefaT2qeJPf,405573
0.478,0.862,-5.513,0.0269,0.00942,1.28e-05,0.0756,0.608,106.295,1oPg2EYKf2hbS7aDyE8j3S,298640
0.56,0.957,-2.589,0.0499,0.00339,0.0244,0.491,0.558,174.036,7BxE6znoQVxdSqwIgahQuZ,218276
0.628,0.844,-6.614,0.0324,0.378,0.000713,0.225,0.607,144.015,0TD0ydYJuFPEaqshquDEpw,230213
0.56,0.905,-2.374,0.131,0.263,0.0,0.132,0.96,208.486,14jKHATbPjaitRpccCPCxm,164640
0.487,0.789,-3.69,0.044,0.00947,4.05e-06,0.189,0.0564,150.007,7wBJfHzpfI3032CSD7CE2m,270715
0.811,0.249,-17.401,0.0778,0.918,0.607,0.0483,0.588,78.012,7ySk6I7jq8Gm1U9Smkdh49,243653
0.927,0.762,-4.578,0.239,0.199,0.000163,0.0886,0.918,105.975,2Tm4V4sms1tmExdCWnTbfl,223261
0.457,0.918,-2.893,0.0626,0.158,0.0464,0.102,0.0369,173.965,3WpZaVBGjVgR7lxekzkXTY,284138
0.462,0.931,-3.287,0.0803,0.118,0.243,0.0933,0.331,172.034,0blW8IbR5b6SHojx2wFH1D,269431
0.672,0.418,-8.892,0.0295,0.599,0.000545,0.0849,0.69,106.043,0o29ZYfMkduYssRlefeb8s,291253
0.536,0.94,-2.958,0.0599,0.000493,0.00528,0.168,0.434,173.952,5cuG0bELYPBn58sKLPhYX9,319427
0.61,0.621,-8.159,0.0779,0.0216,0.000176,0.119,0.0824,115.975,0Kme9ojMj3FlDBt4r11kmj,231083
0.45,0.993,-2.834,0.0863,5.25e-05,0.0039,0.245,0.109,97.448,4Uc9BHmpXllvekaCpx1P5L,248000
0.503,0.86,-4.081,0.0888,0.00722,0.0388,0.0826,0.239,174.054,4bL5DVDPl2Tlck95SWEb5J,264138
0.594,0.913,-2.372,0.255,0.655,0.0,0.423,0.897,80.302,3Wx98ijEDnsxyMYePCuFNI,173633
0.728,0.689,-6.601,0.13,0.222,6.14e-05,0.107,0.0473,89.973,6RZo8T7GY9EoWZXC5i2587,192514
0.208,0.0162,-22.748,0.0455,0.983,0.0153,0.0696,0.041,125.891,3a3ZN0oeCXSP6r0aLvpYsT,207427
0.39,0.0692,-23.312,0.0905,0.435,0.504,0.0822,0.0433,76.465,7wmm8ycV3DwStuQK0LGkdH,740413
0.677,0.89,-5.46,0.159,0.0123,0.0,0.321,0.622,96.009,22wKQbMH8n7wZfso2VcLJL,193707
0.381,0.977,-4.28,0.123,2.69e-05,0.154,0.164,0.194,83.008,1KwqMAzx8jcnS9RnKSXY2v,326387
0.846,0.595,-8.372,0.0439,0.0904,1.96e-06,0.063,0.78,101.632,5YLnfy7R2kueN0BRPkjiEG,196827
0.471,0.61,-11.983,0.0562,0.132,0.48,0.103,0.343,127.843,5CevbpxOgTUNsPuJUTl6RZ,490680
0.409,0.92,-5.439,0.12,0.00719,0.00105,0.0823,0.37,145.085,3vV3cr2TpPqFk07zxYUbla,290960
0.648,0.757,-5.932,0.0296,0.276,0.092,0.0987,0.38,119.971,2ECjeYPCdRNeuCzO0W1UMW,247327
0.661,0.298,-14.005,0.0341,0.938,0.945,0.11,0.41,149.991,1R1MbRt1HmKWjgl0GSC0kf,82600
0.487,0.76,-9.82,0.0358,0.000459,0.909,0.239,0.135,140.023,4xyidZEkDQ5iuY4vU1KtX4,228000
0.268,0.789,-8.527,0.0721,0.0283,0.00487,0.221,0.904,191.48,3FlWowtEKNizsCmrh222O3,126720
0.51,0.00885,-28.703,0.044,0.993,0.958,0.0917,0.405,106.89,28JVD0j9MIraxyvP7j60uy,199287
0.593,0.112,-16.704,0.0336,0.889,0.0,0.117,0.132,82.796,0QpactOWKs6d2vbTdDyVsS,162320
0.411,0.974,-1.268,0.0801,0.014,0.589,0.242,0.139,74.999,2qp4mhHWTXn0KC6a7ZRIKu,188800
0.588,0.678,-7.486,0.368,0.337,0.0,0.0826,0.665,102.982,1Fy3NTZvDisJEACyUIpt1p,156270
0.521,0.916,-3.249,0.0463,0.000229,0.5,0.0545,0.0849,173.995,2UTOWXK3ZxBT7oviB4dMsH,353471
0.348,0.6,-7.988,0.0293,0.0614,0.443,0.0638,0.568,176.714,6nBU1k7hgNHhfsJBarirIo,232159
0.619,0.424,-10.642,0.0261,0.481,0.0,0.165,0.493,133.969,5ihOEBwGF87P0tDpAKqcrC,191360
