song_name,song_artist,id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Blame It On My Youth,blink-182,5vGtrfeMjb03aDHGDaIakG,0.439,0.941,-3.034,0.211,0.0497,0.0,0.21,0.607,170.149,185987
Secrets,State Champs,6XA12laU5GUhas6GcWDLuU,0.561,0.964,-3.312,0.0487,0.000143,0.0,0.0603,0.579,105.009,224423
Perfect Score,State Champs,6VrMCe9krC0d54cWt7jnnR,0.573,0.964,-4.082,0.0453,8.66e-05,0.0,0.299,0.735,110.031,198453
Breaking Ground,State Champs,3i5BAcKAB2eFZI4Z61ENzf,0.367,0.964,-4.179,0.0887,0.000159,2.57e-05,0.294,0.623,179.933,222100
Eyes Closed,State Champs,2Geuoski1TnqBRrwgLvKJW,0.357,0.969,-4.163,0.0782,2.06e-05,0.00719,0.341,0.615,171.969,189166
All You Are Is History,State Champs,6FSM511TqUHUD09nRua1Go,0.373,0.97,-3.379,0.248,5.37e-05,0.0,0.363,0.667,195.083,182081
Around the World and Back,State Champs,50zMedFUZ1wIZaqXaaFzJ5,0.386,0.607,-6.173,0.0283,0.131,0.0,0.104,0.36,89.002,230321
Losing Myself,State Champs,1Pp22pJ31jDQ76uXRtHaMH,0.545,0.939,-4.009,0.0671,0.000115,6.7e-06,0.129,0.558,130.03,197470
Tooth and Nail,State Champs,7JEaA8R7Suz7IEVelwyTVD,0.441,0.966,-3.558,0.101,0.000145,8.7e-06,0.221,0.654,165.061,177312
All or Nothing,State Champs,1dKiGkxl1dMy1BbaK7jwGF,0.445,0.963,-4.427,0.0999,0.00102,0.0,0.0839,0.439,147.132,219355
Back and Forth,State Champs,2wL8VVgsWB2ErmyPMGJqsX,0.461,0.947,-5.388,0.11,0.000638,0.0,0.0358,0.693,162.047,172597
Shape Up,State Champs,3Gp4jaBmoNQoscnuR338q0,0.36,0.972,-3.831,0.16,0.000217,2.2e-06,0.332,0.512,185.923,163515
Threat Level Midnight,Neck Deep,5wsqsHO57y8iWki0KErnIu,0.464,0.953,-2.843,0.0967,0.00054,0.0787,0.0724,0.572,95.098,166772
Citizens Of Earth,Neck Deep,76mLhwXLppB4LiOO6P8Ucy,0.442,0.887,-4.081,0.129,8.09e-05,0.336,0.951,0.496,155.214,160415
December,Neck Deep,4oVdhvxZrKQTM9ZsUIZa3S,0.542,0.439,-7.728,0.0272,0.626,0.0,0.109,0.466,144.949,218955
Smooth Seas Don't Make Good Sailors,Neck Deep,25Eq9bzwKMX3yZTV4qpp8U,0.467,0.937,-3.714,0.0607,1.41e-05,0.599,0.0952,0.544,94.965,185287
Can't Kick Up The Roots,Neck Deep,1iKjPM2YygFxUqjUakAI4n,0.31,0.976,-3.095,0.116,0.000128,0.384,0.222,0.771,113.251,169517
Gold Steps,Neck Deep,3wcT7Bndd1w4dVsKhEXcEm,0.323,0.953,-3.47,0.106,1.21e-05,0.525,0.111,0.612,185.371,192726
