song_name,song_artist,id,danceability,energy,loudness,liveness,valence,tempo,acousticness,cluster
My Girl,The Temptations,5CoJZusX68O7syF5efY0pU,0.07687730956676876,0.17127878325824392,0.255560033917625,-0.14545861863230458,0.2973017862265447,-0.38860139589923576,-0.7938877603915917,1
When a Man Loves a Woman,Percy Sledge,1s65HRPwZtSG5dBIBZ0dix,-1.0077696672466028,-1.0445732937169203,-0.6187906941961444,-0.7588189788535893,-1.5070889414973454,-0.31279415444292125,0.37995133278998783,4
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,6ULAF7fV7JPQPPHz1aP3vc,-0.8957680772495696,1.582006106020368,0.7328548305424435,0.5157325953677042,-0.9530624290186401,1.168243087086177,-0.9288282334039089,2
(What A) Wonderful World,Sam Cooke,6wzMwD1OcvOGOUXfaUxrBq,-0.3711290504213627,-0.2820179841157719,0.5900802309740368,0.26251042830387106,-0.3607846428498685,-1.291372661133901,1.6190741336377137,8
Brown Eyed Girl,Van Morrison,1xXydFs62EqOXFMPizVhn4,0.6486749006042525,-0.9090079053433828,-0.416009378867103,-0.5787498822748636,1.3995965549295366,-1.5156509163023415,1.983522016239986,8
I Say a Little Prayer,Aretha Franklin,3341eBppSCetzo507uJU06,-0.9900852056681237,-2.396838042742957,-2.2281662126806,-0.3775789384408183,-1.2903317239203018,-0.5232080559796748,2.091271825009353,0
Here Comes The Sun - Remastered 2009,The Beatles,14HrSWGYPCDwqAcVFUYKsq,-0.8721887951449311,0.8957063273793344,0.33303996959323373,3.6388059891549798,-1.4495063789531593,-0.18794879345877769,-0.9181803339190796,5
Ain't No Mountain High Enough,Marvin Gaye,5vb7At47uO0yPGfmYnAHuw,-0.5715529483107902,-1.8028921849313955,-0.7029380427340458,-0.3494431421003924,-0.9900797906541884,-0.29859890931644467,1.5747065653209154,8
Surfin' U.S.A. - Remastered 2001,The Beach Boys,5EzitieoPnjyKHAq0gfRMa,0.9316262858599148,1.027035297366199,0.8535579944287778,-0.7799208261089088,0.9101447733039544,0.8030712334362937,-0.8277972590337161,6
(Sittin' On) the Dock of the Bay,Otis Redding,7dt6x5M1jzdTEt8oCbisTK,0.5248836695549008,-0.12527050380886956,0.518348065007301,-0.30723944758975347,-0.45127152684787514,0.7718019871786699,0.1200841469344547,3
Stand By Me,Ben E. King,1ZXu0ib26kWfQQngREMcU2,-1.0254541288250816,-0.7946246089032107,-1.1466658642590457,0.044458006665570274,0.27262354513617915,0.8414546468318957,-0.33943709634667124,4
Fortunate Son,Creedence Clearwater Revival,5KhtfxmVLso0pQfnZ49h36,-0.5892374098892691,-0.010887207368697213,-0.4688888601887352,0.7759887115166437,1.8602570552830255,0.982844582555523,-0.3204224242109005,6
Can't Help Falling in Love,Elvis Presley,1GeNWyZtCHbcp3ZWp8GTOO,-0.25323263989817,-1.3284133256240145,-2.0814831297101595,-0.9810917699429541,0.16568450041126195,-1.4895104882139576,0.12325325895708315,8
"Paint It, Black",The Rolling Stones,52gqeRlrBE7hqMlRxEsi6y,1.6684788516298683,0.6796489896590094,0.9133347994010576,-0.9684306615897623,0.7620753267617614,-0.516788760980755,-0.7533231265019473,7
Sweet Caroline,Neil Diamond,6ft9PAgNOjmZ2kFVP7LGqb,-0.0940724856918606,0.6627033161123173,0.14037472895180886,-0.7700732973897597,0.3507713085890033,0.06974950268341973,0.8648254722521412,7
Whole Lotta Love - 1990 Remaster,Led Zeppelin,1Heu8YuKVSSnfOZoC4IJc5,0.7488868495489662,1.0948179915529679,0.9087365836339591,-0.3494431421003924,-0.34021944194123055,1.6648450424665182,-0.9251523803688622,2
For What It's Worth,Buffalo Springfield,4xrkSpWvpOlcJwi3MEdnJ0,0.8549936190198396,0.09925967068480208,0.5939887143760706,0.11479749751663511,-0.385462883940234,-0.9149835858106475,-0.5105691455686078,3
Come Together - Remastered 2009,The Beatles,58wyJLv6yH1La9NIZPl3ne,-0.40649797357832046,-2.03165877781174,-2.4504899450198097,-0.5949279651706084,-1.3438012462827604,-0.388038880358093,1.9042942156742746,0
Bad Moon Rising,Creedence Clearwater Revival,59eTbibtvvBIGj27eN3zqq,-2.7997951071991296,-2.32397164649218,-4.27023383484902,-0.18766231314294346,-1.6921757496750864,-0.9124688104502462,2.186345185688207,0
California Dreamin' - Single Version,The Mamas & The Papas,6PypGyiu0Y2lCDBN1XZEnP,-0.7307131025171,-1.201320774023823,-0.5500473684780227,-0.4268165820365637,-1.1710535586502018,-0.9070421899356955,1.0201119613609357,8
I Want You Back,The Jackson 5,2CGaIWj2aaWdyCEVL7hVoa,1.3088947995341307,0.47206448871203,0.015303260086731229,-0.9191930179940169,0.6921536436723924,0.07547392554328113,-0.7672672194015125,7
Gimme Shelter,The Rolling Stones,0dIOvducp7ujHTqj66cQ3X,0.01792910430517243,-0.4684203931293861,0.6434195338723789,-0.11732282229187864,-1.4384011704624948,-0.6632744257241431,-0.8201913901794078,3
Happy Together,The Turtles,0Iys022UwQ8xBfxE1g4nWZ,-0.8368198719879734,-0.7946246089032107,-0.35991114650850203,-0.6905896727280565,-0.1674717543086722,1.8290334021811545,1.070817753722991,4
Yesterday - Remastered 2009,The Beatles,57WeIwvnKkBKHsDdIgI6Pi,1.0141537732261496,0.8448693067392583,1.0011607205526378,-0.6751149847408223,0.4165799514966446,-0.8860305800165511,-0.7095893805896748,7
