song_name,song_artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,cluster
My R,Lollia,0.445,0.222,-8.788,0.0344,0.722,0.00277,0.104,0.0781,114.488,2IprB4YXYd9YK59z59cr3F,326000.0,5
To the Bone,JT Music,0.646,0.63,-10.748,0.0435,0.00462,0.27,0.122,0.164,109.018,1jy7SkRcmBCTcv4ZMtwz29,283067.0,1
LEMONS (with Cavetown),Brye,0.462,0.538,-5.527,0.059,0.0137,0.0,0.429,0.405,139.256,1BECwm5qkaBwlbfo4kpYx8,203507.0,4
Happy Pills,Weathers,0.453,0.654,-8.855,0.0317,0.0205,0.00395,0.172,0.702,115.0,389QX9Q1eUOEZ19vtzzI9O,285000.0,11
Look Who’s Inside Again,Bo Burnham,0.638,0.6,-5.84,0.0438,0.114,0.0,0.187,0.0399,101.981,2xbI8Vmyv3TkpTdywpPyNw,245604.0,1
Shinzou Wo Sasageyo (Attack on Titan),NateWantsToBattle,0.446,0.708,-8.38,0.0693,0.147,0.0,0.094,0.317,155.418,2GqmEB1nvaeimGCPiTxiWY,216212.0,17
Ghost - 2WEI Remix,Marvin Brooks,0.808,0.535,-12.521,0.0353,0.179,9.91e-05,0.158,0.848,114.031,7oOOI85fVQvVnK5ynNMdW7,220627.0,10
The Fine Print,The Stupendium,0.716,0.133,-15.846,0.0421,0.879,0.0,0.0966,0.551,62.14,7Kc3hZoCRTs5dNHU7GqT9x,140520.0,13
Win It All,Derivakat,0.566,0.49,-10.867,0.0414,0.791,1.42e-05,0.0919,0.847,134.934,69RH84na5iUNwrwxpgjC5j,153333.0,10
It's Tough to Be a God,Annapantsu,0.853,0.693,-2.991,0.157,0.0833,1.38e-06,0.0676,0.52,95.978,5sLP0XsxAuMAygcizjDQwa,270000.0,16
spy?,WHOKILLEDXIX,0.529,0.607,-6.781,0.0574,0.104,0.0,0.0631,0.238,101.966,7krbSH3rd8lhIZvuzTV3Bl,234107.0,15
Your New Boyfriend,Wilbur Soot,0.611,0.709,-9.007,0.397,0.152,0.328,0.122,0.544,126.012,7fUKG7oLnKx6jZQ5hC31g7,137143.0,6
Minecraft Pigstep - Remix,FlyxTheKid,0.608,0.183,-16.26,0.0858,0.742,0.000664,0.113,0.351,98.012,7GYeK49TqXtaKlg9u9QjO4,214987.0,13
Other Friends,Caleb Hyles,0.707,0.713,-7.486,0.193,0.623,0.0103,0.272,0.412,121.052,3rorNoTHYAHggEgagGyhAg,176000.0,6
Trust Me Not (Hero and Villain Duet),Backseat Vagabond,0.794,0.612,-7.012,0.259,0.442,0.483,0.171,0.628,112.934,2D0dmgrsiyePZJruhPHF1a,93649.0,9
Insane,Black Gryph0n,0.511,0.734,-4.815,0.0402,0.147,2.55e-06,0.0818,0.288,124.801,3Hh9kkrFyZHnXCSnz2Y6Ao,189940.0,15
Marionettes,Kanaya,0.906,0.213,-13.936,0.0789,0.0174,0.0753,0.0986,0.485,135.309,4Fs6KJzg4d0xrGZt7wrC0M,190400.0,10
killer queen,Mad Tsai,0.823,0.795,-3.428,0.0708,0.092,6.96e-06,0.0621,0.661,100.039,5oqjBjNmGwA4bIH0zmrluw,188134.0,16
I'll Let It Burn,Kanaya,0.651,0.695,-9.232,0.0292,0.27,0.00147,0.084,0.806,147.555,7imzBhHn7KD6ag3letxmSt,259067.0,3
Addict,Silva Hound,0.593,0.368,-12.257,0.0337,0.615,0.0,0.0905,0.484,128.8,2ZWKuGuQ087pzwK4vO4E31,201427.0,1
Overwhelmed (Ryan Mack Remix),Ryan Mack,0.51,0.619,-7.918,0.281,0.801,0.0,0.0811,0.321,97.018,0W64NfLrIsRTAFObko6uJx,220240.0,11
Sociopath,StayLoose,0.361,0.877,-1.389,0.0703,0.000707,0.0,0.134,0.137,73.94,091NiGWv2nTM8pnOEXZR6T,214632.0,15
parents,YUNGBLUD,0.572,0.902,-5.932,0.0538,0.00486,0.303,0.879,0.121,172.032,3fMfek5YSthbN6SoiLq6du,373953.0,8
Alone,Nico Collins,0.664,0.779,-11.964,0.0426,0.136,0.898,0.112,0.211,109.999,2Mt60ByiUEt1CEoMG6vdTo,126545.0,7
Full Circle,Five Finger Death Punch,0.599,0.785,-4.013,0.0309,0.448,0.00336,0.151,0.52,140.046,0mUyMawtxj1CJ76kn9gIZK,233640.0,3
Empty,Olivia O'Brien,0.543,0.449,-8.065,0.0463,0.345,0.0,0.157,0.29,132.609,5rgrBsAFYMun6yhtnLKRPz,249320.0,1
Injustice,CG5,0.223,0.841,-5.218,0.0406,0.0058,0.843,0.0991,0.0786,173.193,2502wbciI9iI0S8YNmnGpb,408893.0,7
Total Insecurity (FNAF Security Breach),Rockit Music,0.427,0.829,-6.12,0.161,0.00709,0.0,0.435,0.554,172.971,5Hu8ghjoVoHK78uCCIiwwC,161587.0,4
Five Nights at Freddy's Security Breach Revision,Scraton,0.608,0.792,-5.721,0.0355,0.000674,0.653,0.252,0.611,161.104,0RYHqnmtNRfbYxP6Dn8Vse,144536.0,9
When Nothing Mattered More Than Friends,Amanda Fagan,0.482,0.631,-6.917,0.0986,0.696,0.0242,0.209,0.0743,126.576,2hfoyc7ve6xM4ZEiNIiU1B,214558.0,1
It's Spreading,DHeusta,0.257,0.975,-6.128,0.175,6.07e-05,0.1,0.222,0.276,149.312,2O7UGwJPVlix15Wn4sa5vw,396987.0,17
"Oh, Death",SUGR?,0.477,0.94,-3.435,0.103,0.000211,0.0518,0.346,0.338,76.517,1yYr4D1KjhhyDD5bZIiFQy,302467.0,15
"Oh Death (From ""Until Dawn"") - Epic Rock Cover",HeroPoint,0.464,0.701,-5.693,0.0411,0.00892,0.309,0.335,0.356,83.996,7brQHA2CgQpcMBiOlfiXYb,251187.0,15
Faint,Linkin Park,0.344,0.333,-6.984,0.0326,0.534,1.88e-06,0.111,0.121,108.356,0ol4zWmoUb7cJm5jQ6dwRU,227880.0,5
I Hate Everything About You,Three Days Grace,0.828,0.492,-9.744,0.0276,0.0644,0.00428,0.128,0.789,120.151,0ofHAoxe9vBkTCp2UQIavz,257800.0,10
Duality,Slipknot,0.482,0.947,-3.464,0.055,1.76e-05,9.58e-05,0.146,0.308,99.979,5Q4q6onwKCYruNIqRz8b3I,185308.0,15
Before I Forget,Slipknot,0.377,0.821,-6.192,0.0664,0.00602,9.46e-06,0.543,0.436,100.933,3qKa6gqpUqa5sF4OMwXUTB,333764.0,8
Bodies,Drowning Pool,0.829,0.792,-3.755,0.0668,0.726,5.83e-06,0.122,0.758,118.05,0tZkVZ9DeAa0MNK2gY5NtV,215507.0,16
The Devil in I,Slipknot,0.883,0.474,-7.829,0.192,0.461,0.0,0.0994,0.349,110.015,7m5MXE5jlqRqztoSbBTiZb,200750.0,6
Psychosocial,Slipknot,0.394,0.565,-7.264,0.126,0.518,1.68e-06,0.0853,0.308,90.773,4LyIHEDbAWDeKV0JbVZae9,235226.0,5
Wait and Bleed,Slipknot,0.296,0.259,-13.776,0.0666,0.874,5.48e-06,0.118,0.0658,169.385,5f3IFe7DukJHvPoSKHgs75,208840.0,18
Spit It Out,Slipknot,0.583,0.602,-6.364,0.0274,0.368,0.0,0.22,0.388,74.008,36lkJSDyMEZoWTqtRj8Q8q,229240.0,11
