song_name,song_artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,cluster
My Girl,The Temptations,0.604,0.648,-6.947,0.0343,0.0426,0.0,0.158,0.523,109.969,5CoJZusX68O7syF5efY0pU,224880.0,11
When a Man Loves a Woman,Percy Sledge,0.42,0.361,-10.75,0.0341,0.413,0.00304,0.0708,0.0843,112.26,1s65HRPwZtSG5dBIBZ0dix,396627.0,5
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,0.439,0.981,-4.871,0.127,2.01e-05,0.321,0.252,0.219,157.019,6ULAF7fV7JPQPPHz1aP3vc,256267.0,17
(What A) Wonderful World,Sam Cooke,0.528,0.541,-5.492,0.0398,0.804,0.0,0.216,0.363,82.686,6wzMwD1OcvOGOUXfaUxrBq,208645.0,11
Brown Eyed Girl,Van Morrison,0.701,0.393,-9.868,0.155,0.919,0.384,0.0964,0.791,75.908,1xXydFs62EqOXFMPizVhn4,196640.0,11
I Say a Little Prayer,Aretha Franklin,0.423,0.0418,-17.75,0.0323,0.953,0.0,0.125,0.137,105.901,3341eBppSCetzo507uJU06,178067.0,13
Here Comes The Sun - Remastered 2009,The Beatles,0.443,0.819,-6.61,0.0615,0.00338,0.016,0.696,0.0983,116.033,14HrSWGYPCDwqAcVFUYKsq,348893.0,8
Ain't No Mountain High Enough,Marvin Gaye,0.494,0.182,-11.116,0.0443,0.79,0.00036,0.129,0.21,112.689,5vb7At47uO0yPGfmYnAHuw,355333.0,5
Surfin' U.S.A. - Remastered 2001,The Beach Boys,0.749,0.85,-4.346,0.0468,0.0319,4.81e-05,0.0678,0.672,145.983,5EzitieoPnjyKHAq0gfRMa,190423.0,3
(Sittin' On) the Dock of the Bay,Otis Redding,0.68,0.578,-5.804,0.04,0.331,0.0,0.135,0.341,145.038,7dt6x5M1jzdTEt8oCbisTK,231267.0,6
Stand By Me,Ben E. King,0.417,0.42,-13.046,0.06,0.186,0.00111,0.185,0.517,147.143,1ZXu0ib26kWfQQngREMcU2,287844.0,18
Fortunate Son,Creedence Clearwater Revival,0.491,0.605,-10.098,0.0367,0.192,0.0,0.289,0.903,151.416,5KhtfxmVLso0pQfnZ49h36,183507.0,3
Can't Help Falling in Love,Elvis Presley,0.548,0.294,-17.112,0.0333,0.332,3.34e-06,0.0392,0.491,76.698,1GeNWyZtCHbcp3ZWp8GTOO,256173.0,13
"Paint It, Black",The Rolling Stones,0.874,0.768,-4.086,0.311,0.0554,0.0,0.041,0.636,106.095,52gqeRlrBE7hqMlRxEsi6y,257067.0,16
Sweet Caroline,Neil Diamond,0.575,0.764,-7.448,0.0746,0.566,1.07e-05,0.0692,0.536,123.821,6ft9PAgNOjmZ2kFVP7LGqb,203240.0,15
Whole Lotta Love - 1990 Remaster,Led Zeppelin,0.718,0.866,-4.106,0.0942,0.00118,0.391,0.129,0.368,172.027,1Heu8YuKVSSnfOZoC4IJc5,231628.0,17
For What It's Worth,Buffalo Springfield,0.736,0.631,-5.475,0.304,0.132,0.0,0.195,0.357,94.061,4xrkSpWvpOlcJwi3MEdnJ0,327832.0,6
Come Together - Remastered 2009,The Beatles,0.522,0.128,-18.717,0.0357,0.894,0.026,0.0941,0.124,109.986,58wyJLv6yH1La9NIZPl3ne,187932.0,13
Bad Moon Rising,Creedence Clearwater Revival,0.116,0.059,-26.632,0.0446,0.983,0.913,0.152,0.0393,94.137,59eTbibtvvBIGj27eN3zqq,214987.0,2
California Dreamin' - Single Version,The Mamas & The Papas,0.467,0.324,-10.451,0.0255,0.615,0.0248,0.118,0.166,94.301,6PypGyiu0Y2lCDBN1XZEnP,320267.0,5
I Want You Back,The Jackson 5,0.813,0.719,-7.992,0.0405,0.051,0.873,0.048,0.619,123.994,2CGaIWj2aaWdyCEVL7hVoa,375702.0,9
Gimme Shelter,The Rolling Stones,0.594,0.497,-5.26,0.0303,0.0343,0.0,0.162,0.101,101.668,0dIOvducp7ujHTqj66cQ3X,237248.0,1
Happy Together,The Turtles,0.449,0.42,-9.624,0.356,0.631,0.0,0.0805,0.41,176.989,0Iys022UwQ8xBfxE1g4nWZ,296388.0,18
Yesterday - Remastered 2009,The Beatles,0.763,0.807,-3.704,0.284,0.0692,0.0,0.0827,0.552,94.936,57WeIwvnKkBKHsDdIgI6Pi,263303.0,16
"Mrs. Robinson - From ""The Graduate"" Soundtrack",Simon & Garfunkel,0.89,0.542,-4.826,0.314,0.523,0.0,0.123,0.565,78.458,0fABHG5a7RnqBlOKOwhWZD,165293.0,16
I'm a Believer - 2006 Remaster,The Monkees,0.958,0.636,-7.069,0.168,0.164,0.0,0.107,0.47,130.031,5yUhwxfsBCQP8JjKp8INOS,74173.0,6
At Last,Etta James,0.776,0.523,-6.728,0.0675,0.0796,0.0,0.16,0.928,120.572,6Pjbozivm5e2h9HJh2ac5G,209320.0,10
Down On The Corner,Creedence Clearwater Revival,0.546,0.838,-8.493,0.182,0.0666,3.7e-06,0.634,0.314,77.524,2QXz3DvyI9zcAc1fXgSGQK,161067.0,8
Build Me Up Buttercup - Mono,The Foundations,0.454,0.802,-4.411,0.0418,0.0156,0.0,0.0894,0.273,76.046,0NnNmXqlSodTnA9euyfhUb,215006.0,15
Twist And Shout - Remastered 2009,The Beatles,0.544,0.369,-9.514,0.038,0.969,0.279,0.639,0.102,87.01,3hRV0jL3vUpRrcy398teAU,208212.0,8
Sympathy For The Devil - 50th Anniversary Edition,The Rolling Stones,0.704,0.277,-11.675,0.035,0.814,0.756,0.0845,0.322,90.38,6oWhUfePc5h9r5pfw7wvPN,597280.0,14
You Can't Hurry Love,The Supremes,0.699,0.613,-5.827,0.0328,0.0307,0.0,0.175,0.54,122.934,6i5jBmnB22alUpJ7hpznuj,198896.0,6
"Oh, Pretty Woman",Roy Orbison,0.78,0.752,-9.46,0.0367,0.665,0.000137,0.39,0.862,119.985,5pnemqRjX8RmEvgdmAIsH9,255361.0,0
Respect,Aretha Franklin,0.91,0.366,-9.954,0.0941,0.0996,0.0,0.261,0.74,119.985,2MShy1GSSgbmGUxADNIao5,152000.0,10
"I Can't Help Myself (Sugar Pie, Honey Bunch)",Four Tops,0.509,0.584,-4.907,0.057,0.0368,9.96e-05,0.384,0.685,170.411,6y20BV5L33R8YXM0YuI38N,278747.0,4
The Sound of Silence - Acoustic Version,Simon & Garfunkel,0.84,0.728,-8.473,0.0436,0.127,0.00114,0.114,0.74,124.066,4gitetlGHZ9LfuJhwUhEhF,225993.0,16
For Once In My Life,Stevie Wonder,0.51,0.484,-6.942,0.038,0.784,0.0,0.306,0.683,103.356,1Qn5jElT7XqjvVeJ8pYM2w,140773.0,12
My Way,Frank Sinatra,0.631,0.314,-9.102,0.0283,0.742,0.0,0.111,0.311,118.067,1Bywas03pi0rlyI2aPyReN,225990.0,1
I Heard It Through The Grapevine,Marvin Gaye,0.521,0.895,-5.242,0.0442,5.54e-05,0.349,0.0985,0.237,120.117,2bPGTMB5sFfFYQ2YvSmup0,322340.0,15
Space Oddity - 2015 Remaster,David Bowie,0.704,0.598,-4.922,0.0309,0.0283,0.0,0.106,0.472,115.483,4DEuHSNytLmOz75w8vFpga,196707.0,6
Break on Through (To the Other Side),The Doors,0.289,0.796,-4.22,0.0494,0.00837,2.61e-05,0.202,0.33,169.835,4RAOI1etsgbh5NP3T5R8rN,238680.0,17
Proud Mary,Creedence Clearwater Revival,0.384,0.438,-9.149,0.0362,0.753,0.0,0.101,0.287,87.903,5EQzuYfTZt7B2LqlvTF49l,456867.0,5
Ring of Fire,Johnny Cash,0.827,0.618,-3.97,0.0598,0.0422,7.54e-06,0.102,0.194,100.001,6EL3z6qHqgvskv0IkeI1LP,237973.0,6
I Got You (I Feel Good),James Brown & The Famous Flames,0.454,0.416,-9.444,0.0709,0.732,2.95e-06,0.0877,0.35,79.348,5z7GHYskgDAJJYj62eabAg,214457.0,5
White Rabbit,Jefferson Airplane,0.473,0.922,-5.125,0.366,0.000311,2.23e-05,0.309,0.469,106.005,1xuuAhAwawrTuezA9nPVuL,231400.0,15
You Really Got Me,The Kinks,0.711,0.382,-10.146,0.04,0.625,0.0,0.241,0.62,128.023,1NCZMAnGrzUmpBzkBlJjNw,175000.0,10
Somethin' Stupid,Frank Sinatra,0.637,0.589,-5.618,0.0352,0.0298,0.0,0.11,0.376,148.925,1zY6ekSJ8VI6tZ6nBqoo7g,157447.0,6
I Want To Hold Your Hand - Remastered 2015,The Beatles,0.604,0.37,-18.45,0.0362,0.836,0.346,0.0954,0.666,90.339,0hNVjU6JKydHts0SAjHCno,290733.0,13
You Never Can Tell,Chuck Berry,0.667,0.521,-13.212,0.115,0.202,6.55e-05,0.0723,0.856,117.917,2pbWkjtGtjkzBdZ95GFINm,307573.0,10
Purple Haze,Jimi Hendrix,0.676,0.62,-6.343,0.0562,0.105,0.0,0.211,0.607,100.06,2YaOQzBkhejBu5d4CyGsfS,199960.0,11
House of the Rising Sun,The Animals,0.917,0.694,-4.088,0.187,0.0219,0.0,0.226,0.23,129.103,4msZ1ORJmW9pSY7L2MNJs7,111591.0,6
Fly Me To The Moon (In Other Words),Frank Sinatra,0.806,0.747,-5.309,0.355,0.159,0.0,0.293,0.784,166.052,7kP9UmZiA6YN2S3w5XObGN,210800.0,3
Do You Believe in Magic?,The Lovin' Spoonful,0.709,0.564,-8.551,0.16,0.158,0.0,0.132,0.486,129.954,1AfnNYRD6zZtmpnxZRZRBo,137975.0,6
The Weight - Remastered 2000,The Band,0.711,0.65,-11.034,0.0413,0.0997,0.838,0.109,0.295,115.033,5H916G3jr453S6Jiu6WeFg,188357.0,7
The Boxer,Simon & Garfunkel,0.298,0.382,-7.812,0.0299,0.798,9.87e-06,0.0988,0.124,125.473,5KlCWDbatUCBhvN7ZwyeEF,241893.0,18
Sunshine Of Your Love,Cream,0.62,0.744,-2.576,0.142,0.66,5.8e-06,0.141,0.589,180.014,1fXEkSum1vbTa3w0yvYzYW,273198.0,3
Light My Fire,The Doors,0.39,0.397,-9.963,0.0513,0.287,0.0,0.207,0.246,144.031,3z8h0TU7ReDPLIbEnYhWZb,354947.0,18
L-O-V-E,Nat King Cole,0.806,0.462,-12.778,0.0298,0.78,0.0134,0.15,0.736,92.726,1JkZg3eMQTmTn93E8Yd3UL,191227.0,10
Little Wing,Jimi Hendrix,0.615,0.204,-16.075,0.0439,0.872,0.382,0.071,0.496,96.47,3X3p3u03P8eFL8WTH0oaaU,344067.0,13
It's Not Unusual,Tom Jones,0.531,0.83,-2.526,0.0446,0.0741,0.0,0.0993,0.419,101.903,1exnDFdC34GyBcaLt9ZJfX,221813.0,15
Ramble On - 1990 Remaster,Led Zeppelin,0.774,0.838,-3.914,0.114,0.0249,0.025,0.242,0.924,143.04,6I9VzXrHxO9rA9A5euc8Ak,198800.0,0
I'd Rather Go Blind,Etta James,0.72,0.615,-8.899,0.0542,0.0648,3.62e-05,0.176,0.293,112.048,3FQov3PYCf4rWAfhQ5yjX9,235714.0,6
Daydream Believer,The Monkees,0.773,0.281,-12.527,0.0409,0.549,0.0249,0.105,0.339,140.06,6ZmI0Joq5BJB5jLAnNSmVO,147429.0,1
Like a Rolling Stone,Bob Dylan,0.645,0.392,-9.891,0.0336,0.232,0.0,0.325,0.879,144.999,1Qf3m3xq31jsUCbB7HE9MZ,169241.0,10
Under the Boardwalk,The Drifters,0.827,0.78,-3.315,0.133,0.0435,0.0,0.133,0.658,80.015,0LKErfBZ5FbBiLB4OcZRbL,172749.0,16
White Room,Cream,0.494,0.959,-5.356,0.0404,0.000505,0.0412,0.285,0.069,172.0,1F6W3xByl1L2eNtJGyN3Yy,293123.0,17
Somebody to Love,Jefferson Airplane,0.593,0.945,-3.408,0.126,0.00174,0.0,0.923,0.674,110.023,3wyrhwPpV8uhMMEms4vG3X,231860.0,8
Strangers In The Night,Frank Sinatra,0.565,0.256,-20.805,0.8,0.763,0.0,0.252,0.363,81.747,3wfZY6ra9nrZoWViuk3Roj,90733.0,13
Magic Carpet Ride,Steppenwolf,0.309,0.783,-4.154,0.0405,0.142,1.11e-06,0.118,0.372,175.788,4DxybsoSiMUW0JI2oM0SSN,202067.0,17
Hey Joe,Jimi Hendrix,0.635,0.661,-6.425,0.364,0.102,0.0,0.336,0.858,126.15,5099x34vBakWpGkHourFxP,212711.0,0
Sugar Sugar,The Archies,0.575,0.33,-6.557,0.031,0.416,0.0,0.0872,0.277,95.801,6QfS2wq5sSC1xAJCQsTSlj,217213.0,11
Green River,Creedence Clearwater Revival,0.723,0.868,-6.015,0.0409,0.0294,0.0,0.12,0.925,147.95,54raQ1qeuAqfsQ3A5k7L8A,193286.0,3
A Sunday Kind Of Love,Etta James,0.699,0.804,-4.898,0.144,0.0631,0.0,0.414,0.491,140.012,7F5Mmc4DlX6x5tW3u5zxwt,223197.0,0
Piece of My Heart,Big Brother & The Holding Company,0.711,0.59,-5.378,0.039,0.0031,0.0,0.0376,0.738,119.949,4Ou4ftI454ArcldxNx0oyi,165533.0,16
Can't Take My Eyes off You,Frankie Valli,0.559,0.473,-7.712,0.0279,0.446,0.00141,0.154,0.397,121.227,4IRHwIZHzlHT1FQpRa5RdE,192827.0,1
A Whiter Shade of Pale - Original Single Version,Procol Harum,0.428,0.493,-9.754,0.0351,0.259,2.04e-06,0.084,0.154,105.138,3Z9wiXDPADfxgovNa2I6ph,155458.0,5
Good Times Bad Times - 1993 Remaster,Led Zeppelin,0.248,0.0984,-26.232,0.0363,0.497,0.974,0.117,0.151,71.606,2XuWUj4mOdhcI95p1TMWTq,99583.0,2
What A Wonderful World,Louis Armstrong,0.662,0.775,-5.18,0.0349,0.688,2.98e-05,0.171,0.809,120.017,2q0wGZoUjHbnQsmd3J3lQf,178000.0,16
"Folsom Prison Blues - Live at Folsom State Prison, Folsom, CA - January 1968",Johnny Cash,0.829,0.539,-7.359,0.208,0.136,1.78e-06,0.103,0.388,99.96,7xQAfvXzm3AkraOtGPWIZg,149547.0,6
Put Your Head On My Shoulder,Paul Anka,0.567,0.946,-3.973,0.0935,0.00267,0.0,0.0567,0.699,94.985,0jqblvsI9LBY4irmLVqqEO,245573.0,16
Dancing In The Street - Stereo,Martha Reeves & The Vandellas,0.798,0.629,-6.857,0.0735,0.00474,2.17e-05,0.324,0.4,130.0,3F9ByoUqu31xU0I3G5xfVg,284373.0,6
You Can't Always Get What You Want,The Rolling Stones,0.658,0.38,-7.206,0.438,0.784,0.00113,0.426,0.544,89.961,0MZz25sxDA1W8HA84duaHS,209493.0,12
Blowin' in the Wind,Bob Dylan,0.181,0.913,-3.318,0.152,0.0501,0.0,0.282,0.392,82.176,3f3FDZajRpcLQGln7OZqdi,174893.0,15
The Girl From Ipanema,Stan Getz,0.652,0.698,-4.667,0.042,0.00112,0.000115,0.0886,0.47,96.021,3E7dfMvvCLUddWissuqMwr,202067.0,11
Voodoo Child (Slight Return),Jimi Hendrix,0.414,0.574,-3.884,0.0304,0.167,0.0,0.115,0.155,71.796,6Far9mixuLOSu0Y5ectjfA,228267.0,5
God Only Knows - Mono / 1997 Remastered,The Beach Boys,0.258,0.367,-10.462,0.0324,0.559,0.0,0.113,0.353,115.312,4akk24onRivI2WCFnJb6Vl,285652.0,5
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,0.613,0.739,-6.478,0.0311,0.526,0.0,0.149,0.712,104.966,2BkyYZmU4JuWW2sYi9EzpC,211453.0,16
Born To Be Wild,Steppenwolf,0.848,0.649,-6.083,0.315,0.232,0.0,0.101,0.629,118.04,0BOmhToQ03yOdpzYKMEnAg,181948.0,16
"Hold On, I'm Comin'",Sam & Dave,0.599,0.81,-3.463,0.0903,0.273,0.0,0.311,0.664,86.955,4t7M6wUfkNh5PXVgayPnZH,202560.0,0
Pinball Wizard,The Who,0.801,0.948,-4.623,0.0386,0.0117,0.457,0.025,0.968,138.489,5N6M8yDiMV32T6Rkzh8EbW,202583.0,9
Do You Love Me - Mono Single,The Contours,0.613,0.511,-5.725,0.0303,0.000957,0.00483,0.232,0.574,91.927,5pRYSDSbnj6BiGQsEgx3ne,178691.0,11
All Day and All of the Night,The Kinks,0.484,0.823,-9.324,0.107,0.0167,3.49e-05,0.225,0.876,187.02,1sGsgVBJSifmec6B7Y7bL6,133000.0,3
Nights In White Satin - Single Version / Mono,The Moody Blues,0.496,0.368,-15.194,0.0338,0.46,7.54e-05,0.311,0.628,128.331,3c8JemHol1XwFFruXQxjCO,152227.0,12
Rescue Me,Fontella Bass,0.51,0.931,-3.302,0.347,0.0738,0.0,0.5,0.53,201.936,0LWkaEyQRkF0XAms8Bg1fC,268867.0,4
To Love Somebody,Bee Gees,0.725,0.79,-2.331,0.197,0.0711,1.14e-06,0.0602,0.763,175.988,4bTZeO72FwMa6wKOiqoynL,287773.0,3
I Get Around (Mono),The Beach Boys,0.53,0.803,-5.031,0.0386,0.0545,0.0,0.316,0.565,80.992,2GJ1xx5ZoeIJYbQKLSpoZ3,206060.0,15
Let's Twist Again,Chubby Checker,0.435,0.234,-8.674,0.0369,0.974,4.27e-06,0.131,0.353,102.304,16V37tEJapC7jTli8qHImc,350742.0,5
Everyday People,Sly & The Family Stone,0.363,0.542,-5.644,0.0322,0.00446,7.51e-05,0.332,0.25,130.82,3LSna6W1dRf2QbsUgmRoFf,304829.0,4
The Times They Are A-Changin',Bob Dylan,0.465,0.919,-4.025,0.0408,1.83e-05,2.07e-05,0.262,0.537,135.997,5OQsiBsky2k2kDKy2bX2eT,235293.0,4
I Started A Joke,Bee Gees,0.672,0.504,-8.284,0.0322,0.423,0.00885,0.117,0.109,109.998,2k1bFfcPIRTMeCGO48F0OE,233591.0,1
"Everybody's Talkin' - From ""Midnight Cowboy""",Harry Nilsson,0.508,0.323,-13.239,0.0347,0.714,1.93e-05,0.118,0.472,120.861,7DZ8n63a46dU6iUyN9OeRl,159761.0,13
Soul Man,Sam & Dave,0.878,0.821,-9.875,0.089,0.126,0.0461,0.183,0.947,118.881,46eu3SBuFCXWsPT39Yg3tJ,365467.0,16
A Change Is Gonna Come,Sam Cooke,0.564,0.097,-16.442,0.038,0.958,0.0588,0.119,0.393,132.653,6PKCEB5JzjCizpz9hUQcpX,346920.0,13
The Letter,The Box Tops,0.735,0.483,-9.437,0.0775,0.326,0.000189,0.135,0.184,117.019,3gHqqfGzGlA6AomepHu4zj,156298.0,1
Think,Aretha Franklin,0.34,0.751,-6.295,0.0653,0.234,2.04e-05,0.131,0.205,139.501,2T0GF8mdSC5wyDzv5Z8DXg,201931.0,17
Baby Love,The Supremes,0.433,0.498,-6.711,0.207,0.263,0.0,0.339,0.69,79.434,32L05FkUrYfVlc0IwJ45ld,137876.0,12
Be My Baby,The Ronettes,0.697,0.676,-10.742,0.0402,0.706,0.0,0.0824,0.852,148.072,1O0xeZrBDbq7HPREdmYUYK,182240.0,10
Girl from the North Country,Bob Dylan,0.403,0.567,-8.736,0.229,0.00603,6.76e-06,0.14,0.317,73.699,0A8IiyXCmYs7QWaGJGRWE4,198600.0,5
(Love Is Like A) Heat Wave,Martha Reeves & The Vandellas,0.35,0.429,-13.14,0.131,0.712,0.0,0.307,0.207,169.901,0QMCxc6dP8ObzoJExJd5oc,170667.0,18
Helplessly Hoping - 2005 Remaster,"Crosby, Stills & Nash",0.589,0.453,-8.912,0.0397,0.703,2.54e-05,0.134,0.513,139.148,49MHCPzvMLXhRjDantBMVH,290573.0,1
Homeward Bound,Simon & Garfunkel,0.51,0.643,-6.602,0.0485,0.214,3.22e-06,0.101,0.0397,130.081,5DHQKZCOZhGNTbYBCekWx0,270453.0,1
Runaround Sue,Dion,0.718,0.452,-9.25,0.21,0.898,0.00813,0.0867,0.217,76.981,2pzUe12mvlwYca0eNPHqnP,126000.0,11
Sunny,Bobby Hebb,0.388,0.53,-6.764,0.0563,0.603,0.0,0.0986,0.282,77.165,7iYlFj6IMtDOQAQtgZO9vi,193093.0,5
Bring It On Home to Me,Sam Cooke,0.493,0.808,-3.365,0.0362,0.000235,0.0,0.0983,0.38,117.971,6Wx88Mv6b9ofjKMKkdwOJd,268613.0,15
Louie Louie,The Kingsmen,0.574,0.329,-6.829,0.0274,0.22,0.0,0.0986,0.356,130.993,2afCBiru10AFckfOa49wIa,237933.0,1
In the Midnight Hour,Wilson Pickett,0.855,0.477,-9.321,0.0787,0.0228,0.0,0.136,0.298,113.049,41rJiBRAhWgecn1XecIk1u,208142.0,6
Summer in the City - Remastered,The Lovin' Spoonful,0.618,0.61,-7.812,0.39,0.332,0.0,0.108,0.529,126.016,73ZaCmh5nzvBzbhREnQvcB,162493.0,6
Ain't Too Proud To Beg,The Temptations,0.457,0.981,-2.26,0.135,0.000425,0.0,0.355,0.201,94.991,05liOVVybQw3UyyrEOAcSw,194655.0,15
(Your Love Keeps Lifting Me) Higher & Higher,Jackie Wilson,0.633,0.687,-5.843,0.0475,0.398,0.0,0.126,0.199,156.089,5nlaZI6f3jvKZXt8Xmt2h7,175014.0,17
Sunday Morning,The Velvet Underground,0.308,0.563,-9.169,0.0719,0.527,4.58e-06,0.134,0.109,85.901,3nB82yGjtbQFSU0JLAwLRH,688453.0,5
I Second That Emotion,Smokey Robinson & The Miracles,0.518,0.433,-12.194,0.0313,0.0711,0.79,0.42,0.0892,126.017,5xKVYMxOHB2XRLCUafFrz6,143805.0,14
California Soul,Marlena Shaw,0.653,0.62,-5.797,0.28,0.634,5.46e-06,0.512,0.584,179.8,3gYK7eEFbp6KzmqYRMyQRm,191560.0,4
Bang Bang (My Baby Shot Me Down),Nancy Sinatra,0.412,0.913,-3.428,0.0473,6.81e-05,0.0,0.0959,0.696,169.962,5whbAX7oZ7MDlgBplPDkJb,191133.0,3
Jump in the Line,Harry Belafonte,0.695,0.577,-7.666,0.0306,0.393,0.0,0.596,0.566,121.944,5yigml1IGgNnaAAiqgWsjY,170613.0,8
Don't Worry Baby - Remastered 2001,The Beach Boys,0.675,0.597,-11.329,0.0337,0.0534,0.0,0.0986,0.828,108.875,2eF8pWbiivYsYRpbntYsnc,161160.0,10
This Old Heart Of Mine (Is Weak For You),The Isley Brothers,0.543,0.944,-7.495,0.0543,0.402,0.000564,0.0373,0.735,101.174,4nuUssdgKFy2QyYHHNkZQW,279440.0,16
Hit the Road Jack,Ray Charles,0.667,0.716,-5.21,0.0349,0.189,0.0,0.104,0.493,108.002,7KM7AeGDIWKxrMN7E4ljRA,255507.0,6
She's Not There,The Zombies,0.511,0.877,-5.718,0.0846,0.000829,8.91e-05,0.378,0.239,160.052,7ztFTiaEtc1TF5AV9909Bb,289481.0,4
Come A Little Bit Closer,Jay & The Americans,0.803,0.335,-13.331,0.0451,0.579,0.0128,0.0849,0.786,132.682,18A1V1vsy5YgHFqb4galTw,330440.0,10
Where Did Our Love Go,The Supremes,0.649,0.271,-15.198,0.0498,0.708,4.54e-06,0.124,0.626,126.026,4jCoxXaEKeTWkQ7HL1d5de,441027.0,10
Land of 1000 Dances,Wilson Pickett,0.561,0.0901,-15.923,0.034,0.889,0.000174,0.111,0.444,82.155,6g0eFcVGt4tSJpJ2FdIQv0,186320.0,13
Crazy - Single Version,Patsy Cline,0.364,0.922,-4.217,0.0567,0.000915,0.0346,0.0697,0.227,79.342,4e9eGQYsOiBcftrWXwsVco,235053.0,15
I Put A Spell On You,Nina Simone,0.433,0.174,-18.791,0.0537,0.982,0.101,0.111,0.366,95.802,4JLcAU2xY90qTkTSNM1lUa,162447.0,13
My Generation - Stereo Version,The Who,0.302,0.805,-11.395,0.0967,0.000849,4.19e-06,0.151,0.578,112.766,6lWFQo5NuR3y8Q6CHIRatA,275387.0,15
Wild Thing,The Troggs,0.266,0.924,-2.275,0.0624,3.29e-05,0.639,0.464,0.404,90.323,7LPJKEfrodFCXEYNKWyqef,193219.0,7
Turn! Turn! Turn! (To Everything There Is a Season),The Byrds,0.343,0.0209,-27.015,0.0398,0.987,0.922,0.126,0.0393,125.242,4acoaqSa5dno7qMFExRG2w,497773.0,2
You Don't Own Me,Lesley Gore,0.681,0.341,-9.016,0.0567,0.864,0.0,0.319,0.431,126.242,5JvHFo8DB7qgbGHnF5iAKU,197972.0,12
Sunny Afternoon,The Kinks,0.514,0.32,-11.937,0.0428,0.703,4.83e-05,0.115,0.14,115.312,093KMwH96ZwZRZn2lKoX9Z,231693.0,1
Gloria (feat. Van Morrison) - Stereo Version,Them,0.755,0.931,-3.376,0.0693,0.186,5.11e-05,0.104,0.742,129.978,6i8w8Zdud22ehgJrrzqIVi,232615.0,16
Please Mr. Postman - Single Version / Mono,The Marvelettes,0.548,0.805,-5.732,0.351,0.212,0.000389,0.408,0.648,142.094,79s5XnCN4TJKTVMSmOx8Ep,216387.0,4
Pale Blue Eyes,The Velvet Underground,0.677,0.901,-6.056,0.0724,0.00228,0.498,0.0823,0.53,172.02,1lCvqw0lNWDmaZUGAYDlEB,273771.0,3
Will You Love Me Tomorrow,The Shirelles,0.6,0.939,-1.794,0.19,0.0666,6.18e-06,0.34,0.833,159.941,4GRFzKI7jTZ3kbMfouc7bn,186840.0,3
My Cherie Amour,Stevie Wonder,0.756,0.358,-6.297,0.0588,0.829,1.62e-05,0.131,0.509,110.093,5Gnx5bNAglWcclJkuJnrys,60000.0,11
It's My Party,Lesley Gore,0.628,0.928,-3.698,0.0621,0.00862,0.713,0.0651,0.68,123.953,2KP2670rcQA5XRZyQcVhDK,168290.0,9
Mr. Tambourine Man,The Byrds,0.386,0.607,-6.173,0.0283,0.131,0.0,0.104,0.36,89.002,6KOFKEJxmmkQaVKEFQaN57,230321.0,15
Nowhere To Run,Martha Reeves & The Vandellas,0.686,0.472,-8.638,0.0897,0.416,0.0908,0.0971,0.0832,100.106,0BQ4zIMESy75Qf2HeMi4ds,213975.0,1
Mr. Tambourine Man,Bob Dylan,0.405,0.816,-4.854,0.0432,4.19e-05,0.0,0.306,0.494,144.993,5jYuXlJIkzjs34aYX7U92I,187720.0,4
America,Simon & Garfunkel,0.818,0.692,-3.887,0.277,0.236,0.0,0.0784,0.919,106.396,1AvLAAXMtq7IGi48x9TrD7,165189.0,16
Knock on Wood,Eddie Floyd,0.697,0.467,-7.536,0.0715,0.248,0.0,0.0941,0.572,82.082,3goSVuTt3fDYDP6kRnFwuL,229413.0,11
Hard to Handle,Otis Redding,0.555,0.452,-9.636,0.0554,0.694,0.0,0.0595,0.321,179.921,0KF5nzdiqZlxVK68MPITst,256933.0,18
Stayin' Alive,Bee Gees,0.451,0.899,-2.501,0.0571,0.000551,0.000237,0.264,0.257,174.02,66145nIrccD0mtG8LdLkNO,268966.0,4
You're The One That I Want - From “Grease”,John Travolta,0.693,0.64,-12.886,0.0368,0.000461,0.417,0.366,0.154,131.881,5hxzAzeo5CFVwouZ1O8j5i,174634.0,12
Boogie Wonderland,"Earth, Wind & Fire",0.67,0.365,-10.158,0.0564,0.525,0.0,0.0575,0.45,119.344,2dR5WkrpwylTuT3jRWNufa,147147.0,1
Blame It on the Boogie,The Jacksons,0.558,0.915,-11.28,0.0457,0.245,0.00115,0.563,0.823,122.425,6pMYe5lqOx465hDhjF6aCa,308600.0,8
I Will Survive - Single Version,Gloria Gaynor,0.387,0.691,-8.02,0.0397,0.0485,0.00478,0.096,0.378,183.983,4Hp92sgUD0MehCQdDYUpdS,125333.0,17
Crazy Little Thing Called Love - Remastered 2011,Queen,0.455,0.106,-14.086,0.0422,0.986,0.0,0.122,0.258,66.807,5DIVWgTeJ2fPIxaY9e7ZKn,196440.0,5
Don't Go Breaking My Heart,Elton John,0.786,0.434,-10.178,0.0633,0.074,0.648,0.094,0.859,93.007,67rUPnTsWfa89kyFYm9kS8,287213.0,9
Disco Inferno - Edit,The Trammps,0.647,0.62,-8.37,0.442,0.217,0.0,0.121,0.276,140.221,3UJMTYmekhx9WHGr9ggZkF,190286.0,1
