danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.634,0.677,-7.19,0.0448,0.318,0.0,0.0902,0.939,95.792,5qyq1H5OPMlfuvZQ1wQNo7,179120
0.425,0.732,-6.883,0.0396,0.00194,0.0103,0.171,0.333,117.98,2U8g9wVcUu9wsg6i7sFSv8,240796
0.719,0.798,-4.582,0.0361,0.0162,2.34e-06,0.134,0.591,120.011,235LXPXfi0SmOaS9TaCh3c,227741
0.784,0.893,-5.153,0.0923,0.3,1.57e-05,0.272,0.819,118.738,5IKLwqBQG6KU6MP2zP80Nu,216733
0.774,0.641,-10.193,0.0799,0.0765,0.0,0.0867,0.875,113.256,3qI94hINNNeb4S7xQi18lS,214200
0.614,0.615,-6.7,0.0444,0.054,0.0,0.0921,0.374,95.941,0zbzrhfVS9S2TszW3wLQZ7,220291
0.668,0.857,-2.944,0.0535,0.0191,6.71e-06,0.0385,0.748,131.959,5FeuH4LtGxDWkSkhRG47QT,215693
0.759,0.605,-7.737,0.0433,0.156,0.0,0.694,0.64,121.049,0mjAU3yKR1QnXnHtjGJqTM,158900
0.482,0.829,-5.576,0.0437,0.00034,0.0,0.378,0.739,147.99,0l4DTppOxy7NUaEcwXuOb6,212307
0.757,0.757,-7.598,0.0389,0.235,0.0,0.0474,0.967,124.956,4FUfoWMypAyWbOavmYyeNu,218867
0.871,0.346,-9.481,0.0522,0.298,9.24e-06,0.108,0.659,110.054,2iXdwVdzA0KrI2Q0iZNJbX,207680
0.784,0.713,-6.865,0.0339,0.447,0.14,0.0904,0.97,115.443,2M2WJ7gBlcKNxdhyfPp9zY,220560
0.826,0.612,-3.891,0.0982,0.00681,0.0,0.0889,0.756,120.057,6vc2Jq2vaGu8z326kSrw92,187133
0.675,0.166,-22.602,0.171,0.88,7.14e-05,0.0461,0.747,68.837,4hObp5bmIJ3PP3cKA9K9GY,294400
0.698,0.774,-8.642,0.048,0.12,2.26e-06,0.394,0.731,133.197,0snPJPxkk0MbTc0xeUvAPt,270720
0.642,0.881,-3.537,0.0393,0.209,0.0,0.21,0.913,138.03,38zwkK6TtTjIW9tpYBfZ3D,222045
0.693,0.575,-6.998,0.0801,0.374,0.0,0.252,0.492,117.999,14sOS5L36385FJ3OL8hew4,211362
0.448,0.824,-4.249,0.057,0.0739,0.0,0.113,0.419,119.965,76Tuo484SLohJakHLnGI3B,213693
0.706,0.914,-5.668,0.0615,0.19,0.0,0.0886,0.299,124.03,2ntTfXxuIi3jlePOKSz26N,178065
0.32,0.917,-5.903,0.0771,0.0717,0.0,0.169,0.715,190.757,15tHagkk8z306XkyOHqiip,188360
0.556,0.57,-9.472,0.0393,0.0118,0.000526,0.198,0.304,126.01,6rLqjzGV5VMLDWEnuUqi8q,165227
0.705,0.776,-6.096,0.0445,0.0643,2.81e-06,0.0246,0.366,116.011,0mA7zotmg2ZFMRALljdZsS,185304
0.862,0.624,-11.63,0.0565,0.0192,0.000153,0.0465,0.882,124.896,3yDhZq8f17SmumVmEyCaRN,254240
0.526,0.818,-5.952,0.0358,0.0587,0.0,0.333,0.896,171.957,2q1yrE8fVlZ5sFlwNvp5Ey,185098
0.481,0.826,-6.974,0.0851,0.182,0.00352,0.324,0.819,118.679,6RANU8AS5ICU5PEHh8BYtH,394267
0.685,0.508,-6.4,0.0987,0.193,0.0,0.139,0.315,99.063,5sIx4BlfYGuZeSLF40N9GH,217287
0.572,0.786,-8.469,0.0642,0.519,0.00093,0.11,0.952,188.115,6D8kc7RO0rqBLSo2YPflJ5,174867
0.624,0.868,-5.867,0.0269,0.305,1.38e-05,0.186,0.806,111.143,1y748kOQshZECWk5MddfOv,268187
0.54,0.793,-4.379,0.0492,0.0744,0.0,0.354,0.4,112.219,4Q6wZlZhrwVVmGhJtmGUtG,201199
0.734,0.639,-3.241,0.0316,0.0348,0.0,0.102,0.836,121.212,45O0tUN9Bh6LH4eNxQ07AT,201653
0.779,0.542,-15.137,0.0515,0.0358,0.000659,0.33,0.647,116.284,6fw12s3vAJQAt7lbICodwC,198373
0.768,0.919,-6.066,0.0416,0.109,1.14e-06,0.366,0.862,116.649,2AlVWg58iy4Cx6KqD0XYu2,206040
