danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.539,0.225,-12.237,0.355,0.906,0.936,0.0998,0.601,160.172,6Xgh67TMWtXrKfeAVSDYBA,147082
0.65,0.401,-12.317,0.0322,0.625,0.889,0.122,0.435,86.995,5w7snuYJzYBSeCwgZPwpME,181724
0.681,0.236,-16.911,0.042,0.717,0.883,0.0957,0.652,75.0,3wx8UcizTr4xtjpBlRfL9r,178800
0.783,0.351,-14.93,0.0811,0.786,0.936,0.102,0.244,150.01,2S8x2UmgZFqGNPQxe2zLL4,142344
0.824,0.155,-19.637,0.0695,0.665,0.322,0.0777,0.0867,148.11,5wZetUDyN1GQypcfUyxPqo,117568
0.493,0.13,-18.718,0.0873,0.927,0.945,0.105,0.415,79.631,5Q4X6JGfoZM89iGSNGt2XR,135980
0.52,0.437,-15.987,0.514,0.965,0.501,0.137,0.651,78.829,2UCDo9LZZE9IDsDihDIa62,143589
0.582,0.12,-14.536,0.0303,0.977,0.914,0.0847,0.0396,142.028,2zXsYFayncayYEELOLAOhp,131942
0.735,0.274,-13.81,0.0521,0.818,0.917,0.103,0.463,140.041,0jhpe4AiFQIJm3Mhn2sO3n,84000
0.581,0.263,-16.645,0.0383,0.866,0.922,0.0901,0.0789,150.072,1nwqimbDdHpaVy2W3lHjeA,129861
0.633,0.268,-13.132,0.108,0.48,0.447,0.136,0.168,77.029,1SHbHqlxbOZGXgABxkzykz,144010
0.719,0.584,-14.475,0.119,0.783,0.943,0.0915,0.0588,159.994,4HhZZZAtRufBXnJyPtf7uB,148532
0.547,0.135,-17.148,0.084,0.785,0.889,0.0939,0.122,106.38,7q2jpq2xFH1Q54QbrE5kPe,109346
0.72,0.422,-14.467,0.0487,0.95,0.807,0.0751,0.0392,151.982,4UNI7NvY0ti3jJikm4f4ld,180197
0.814,0.458,-13.914,0.121,0.946,0.937,0.388,0.572,75.99,7D0PbgrpVfUVASPPxn7TRz,117424
0.591,0.33,-10.195,0.0506,0.222,0.899,0.1,0.215,84.035,28D9EaiySXKtyg37WFQqpT,137278
0.395,0.14,-18.866,0.0867,0.799,0.937,0.108,0.0501,80.015,2LHjVBewQoqtWECN4awbV4,120750
0.657,0.635,-8.43,0.297,0.744,0.834,0.117,0.689,80.05,3ImHLPyqf739WgzXKjPqfU,112500
