danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.75,0.821,-6.504,0.0437,0.136,0.0503,0.325,0.654,130.015,3oHOObxpYRdsRwVqizxWNM,159562
0.756,0.962,-7.526,0.0583,0.0671,0.703,0.194,0.749,136.981,45bfH0GZvUyujIBiKRhXso,358267
0.546,0.87,-6.795,0.0384,0.00362,0.659,0.0527,0.036,129.998,4BG4Smwt9cu1RzAKurrIN6,373167
0.705,0.88,-8.887,0.0631,0.00481,0.862,0.0512,0.581,127.982,3AaGCSpUFAmtB1XGxz5IWk,245208
0.576,0.848,-5.935,0.0333,0.00161,0.00144,0.11,0.532,130.026,2edB8M0PPZCoYKm8ohDaNm,277433
0.689,0.609,-9.889,0.0382,0.295,0.0455,0.117,0.103,128.024,3DVXjW5D4mPCS7lcUdkuq4,108646
0.742,0.727,-8.351,0.0536,0.333,0.881,0.102,0.824,127.991,5yFjyLryX1UPHfuLXPVxJz,244262
0.818,0.748,-6.678,0.0717,0.00791,0.00775,0.207,0.472,126.069,5qJm4xvRCOQ1zedunDnndW,180952
0.297,0.555,-9.344,0.047,0.0263,0.409,0.303,0.228,144.601,1Pfun1VMFlTBwgqLNdUxcR,220653
0.638,0.919,-7.974,0.0485,0.0118,0.802,0.123,0.699,130.048,4lEkWLEF4MRTJE03dCF2O9,291721
0.683,0.887,-4.944,0.0497,0.0125,0.446,0.318,0.551,132.007,6gdDu39yYqPcaTgCwYEW8i,267947
0.648,0.757,-5.932,0.0296,0.276,0.092,0.0987,0.38,119.971,2ECjeYPCdRNeuCzO0W1UMW,247327
0.72,0.96,-3.23,0.0349,0.0414,0.14,0.11,0.666,124.988,3Z9qdV9SOWHuTxNbyOwXIa,211200
0.623,0.866,-7.145,0.051,0.0109,0.785,0.637,0.244,125.967,1i5XRu1L0x7gIg9UGKqizL,244130
0.797,0.548,-5.992,0.033,0.71,0.0336,0.115,0.465,127.993,5g1IxCinEawQcerAMrs2tU,168724
0.832,0.433,-15.566,0.0437,0.42,0.687,0.0942,0.275,117.904,6kqAKtIZDTeBjLdJJ2jiTt,572217
0.745,0.928,-2.364,0.248,0.0693,0.0,0.0276,0.776,174.049,1ONDma4NENd2D7ig3HvJ1Z,168653
0.681,0.826,-6.72,0.0547,0.362,0.0132,0.14,0.549,123.996,2uUAW6qgya8keByF9mh3ui,241087
0.857,0.558,-7.888,0.134,0.0122,4.8e-05,0.288,0.453,123.973,4DByEumlGTZKSzuVEZ35eo,288255
0.276,0.571,-9.048,0.0386,0.0765,0.969,0.04,0.0573,91.481,2N7kFL9VM9JrS9XvavwMqd,295172
0.797,0.718,-6.868,0.0569,0.0338,0.579,0.0944,0.561,112.019,6YGn4dZqpmb8zRPTkDAAlo,195605
0.926,0.308,-10.294,0.323,0.00907,1.12e-05,0.0648,0.63,101.872,1ueaBqr5S3NxQhj1gKgmwj,127625
0.823,0.585,-10.029,0.0747,0.0184,0.214,0.06,0.533,120.02,09KmIUMlvTx7TZQrrSKCgl,290019
0.634,0.659,-7.143,0.0263,0.373,0.00325,0.161,0.38,126.977,3360fzHkXtFCGSnTpyBMRA,257431
0.681,0.559,-7.043,0.293,0.229,0.00922,0.0907,0.198,119.98,1uPRLmmA2YGNItLRp3BgFO,149840
0.802,0.856,-8.764,0.0575,0.0294,0.878,0.666,0.719,127.067,7MQE5Gx0g0DkHvH2PwgOgs,493000
0.419,0.74,-5.601,0.0876,0.233,0.00135,0.123,0.254,149.699,2gNYF7hcGCugn9lH5fjnZw,258480
0.55,0.629,-9.762,0.0447,0.112,0.0114,0.0976,0.202,111.009,6ExxJ9telaOPy8U2onom9F,232918
0.698,0.886,-4.347,0.0575,0.16,0.0,0.138,0.0503,127.972,5k5OO3omkVxszp63SkJL8t,182605
0.746,0.765,-9.279,0.0527,0.263,0.324,0.0706,0.623,112.794,1BX7vT2Pc6FNFblmhnp6ke,211227
0.61,0.709,-7.143,0.241,0.00707,1.61e-05,0.273,0.33,100.489,15cYjzRUBRrDHn76GdxWiv,232122
0.781,0.895,-7.553,0.0545,5.02e-05,0.902,0.0785,0.246,134.011,00DrCz52C36qaTPItWpCNK,305015
0.774,0.534,-9.441,0.0743,0.653,0.423,0.123,0.572,119.974,3XlZoJ4VG4yGpLomIA53Th,259573
0.721,0.819,-7.328,0.0325,0.0348,0.0834,0.135,0.297,128.011,0QEbtIIK5pwcZZYuzjTOZB,170680
0.726,0.92,-6.275,0.0587,0.000138,0.849,0.0802,0.877,129.012,6Hw597MDyZYBm9sLP8BTCN,197209
0.805,0.844,-5.354,0.0836,0.104,0.00104,0.0767,0.545,130.971,4bao9qwqgkBdCuNmKehrOA,295230
0.722,0.77,-7.171,0.0601,0.00437,0.35,0.0833,0.152,125.008,48gwHIUd09s0g1JxEv9VzJ,219360
0.778,0.942,-4.239,0.174,0.0111,0.177,0.342,0.851,125.962,3ddJUAVAo7b1AnNWi7jtZX,183113
0.811,0.939,-7.462,0.058,0.00807,0.854,0.623,0.534,124.992,5Gdw8r7y4NUer8LVGPBeM2,299557
0.729,0.577,-5.634,0.0448,0.11,0.00103,0.111,0.402,115.956,1NI1eV3ekhn0HbfkNp8i6m,180000
0.668,0.68,-6.775,0.0335,0.00255,0.0438,0.123,0.385,129.032,1nz0SvhvjKHHX8NoSUeG3P,211811
0.746,0.775,-4.018,0.0857,0.0241,0.0796,0.152,0.689,122.02,4OSS2eDxVmkG13O7MXPxul,216480
0.441,0.923,-6.756,0.0627,0.00557,0.165,0.0628,0.23,135.043,1DjivOHek7yr3b7xGVAV7S,184243
0.683,0.944,-3.201,0.0729,0.0167,0.885,0.0985,0.342,175.007,6tiK5mxdY4c8AFMhypVgG7,203071
0.447,0.992,-6.327,0.0501,0.000273,0.892,0.0576,0.208,140.018,2ttWiWGpvX2S1EA5UfBCRa,359521
0.611,0.837,-7.849,0.0419,0.0282,0.755,0.104,0.457,122.002,22QE1KHFMkl96UTjeDQ4GV,298714
0.662,0.775,-6.742,0.0441,0.00204,0.958,0.0893,0.594,128.045,5FHLW4748Qp01kvyPjbODM,226500
0.622,0.673,-5.914,0.0552,0.0289,0.0292,0.128,0.0763,173.981,43XXw4DgEq4FLeLheuED0X,226207
0.688,0.826,-7.617,0.0573,0.156,0.914,0.107,0.763,142.016,45rqRN1h6iNDMIAb0idSjQ,175399
0.633,0.72,-10.156,0.047,0.0556,0.849,0.1,0.16,124.002,0Vvp9sJydb4zJsanPA77By,329072
0.707,0.415,-9.874,0.0318,0.00462,0.0905,0.111,0.214,130.049,0MYqjhoG0r9K23MAk4ok5A,257424
0.667,0.861,-8.381,0.0466,7.08e-05,0.917,0.0976,0.271,126.008,4n8fxV2m3ESCoQgOaMrR2n,308571
0.609,0.765,-7.65,0.0633,0.149,0.017,0.0815,0.819,173.993,2fmtrXfvbN8xkHwE0zgTTc,135013
0.577,0.911,-8.914,0.119,0.0471,0.0,0.0862,0.195,133.979,3g4JgXeSpv5wXGzdsDxCRi,334887
0.596,0.606,-11.716,0.0433,0.313,0.846,0.0979,0.811,127.976,2wynpXzuXf6Cvf2MqHYA9Z,181873
0.852,0.93,-7.02,0.209,0.0127,0.494,0.0573,0.236,129.028,55meeb1WffJW16DfMnWVi0,271642
0.73,0.961,-6.617,0.0378,0.305,0.879,0.118,0.184,129.024,4HDyneNRqT6teWLfG5CQ1x,213851
0.584,0.798,-14.769,0.0395,0.868,0.926,0.128,0.837,133.962,15RXHgm7esKYvPcHGTelUI,251796
0.69,0.22,-15.534,0.0301,0.836,0.737,0.0968,0.239,97.048,0nXl6xvbm0tH7FYY1wKlku,215898
0.797,0.727,-6.381,0.102,0.000281,0.709,0.0994,0.267,133.993,1eJHtjhx9G89WPHHX20ndU,228750
0.761,0.609,-10.189,0.0673,0.0916,0.529,0.286,0.498,120.029,216LOkWfwFC0oI2ffMApMc,239846
0.67,0.904,-6.982,0.0359,0.00443,0.813,0.129,0.444,135.005,4vKEzzWe1W1xYI5foZu15g,286556
0.831,0.522,-10.132,0.0576,5.55e-05,0.819,0.0809,0.515,120.994,1fiwPnzU3b50IhhhgDVorQ,225000
0.61,0.721,-8.695,0.0316,0.0328,0.877,0.112,0.268,129.025,3m1Z6IK6pCXs5jOydBlUAT,406442
0.489,0.92,-4.746,0.0323,0.0376,0.665,0.25,0.215,126.991,6nGhGBz7uaE1RngnIFRKep,417431
0.767,0.843,-4.312,0.116,0.00831,4.99e-05,0.393,0.454,130.933,2xoeyiHgdFQtALq4bjwscy,176000
0.793,0.948,-6.652,0.058,0.0235,0.289,0.0567,0.481,129.999,5NY8FqMU71tJbuz6qiZ69C,398769
0.692,0.672,-10.48,0.0403,0.0395,0.924,0.0939,0.441,114.008,7huFrzl3tBNxSr8tp6zyDf,189423
0.522,0.934,-3.334,0.0631,0.148,0.517,0.0447,0.604,175.293,4TdBkfjotcNZWAGI2xgxh9,220650
0.724,0.827,-6.399,0.044,0.00527,0.648,0.919,0.585,124.05,0GXeIYIvVgQIwAZ70Udnxb,189507
0.626,0.936,-5.122,0.0474,0.00625,0.0116,0.204,0.748,140.028,2qrhwoAn9s6q1C31811SVS,429012
0.71,0.866,-4.891,0.0442,0.000862,0.467,0.0607,0.196,126.028,2SJh15C8b0AmfG2leMFp58,291401
0.726,0.507,-11.652,0.0577,0.249,2.59e-05,0.0753,0.321,104.991,18tuLCxBzxaHYhYMgBfxNm,181950
0.703,0.612,-13.948,0.0409,0.415,0.835,0.0462,0.462,133.005,39MX1i8UtVwYa99k1VfZsp,349456
0.601,0.833,-6.134,0.0368,0.0109,0.00605,0.0791,0.651,136.972,0RG81CtArQ6WWE5W7cGocf,162265
0.653,0.738,-7.621,0.0534,0.29,0.805,0.372,0.465,133.999,6kaBmYQgjE8eOBq7pLLfV8,210480
0.816,0.877,-7.303,0.0368,0.014,0.926,0.15,0.0592,130.012,7rwnsJwCVBA9eeTooLpMZv,158219
0.665,0.727,-8.073,0.0391,0.00984,0.394,0.172,0.397,133.922,31B7wLv4yvtjDoTTmbnxeE,198806
0.591,0.833,-6.723,0.0329,0.267,0.805,0.109,0.243,126.012,1f4xccWnwzfLJLzPWUGhT7,281061
0.739,0.689,-7.432,0.137,0.171,0.942,0.109,0.506,158.019,10G4nVNI2Jyvi7bLrbZBEK,268238
0.853,0.957,-5.765,0.172,0.354,0.12,0.153,0.347,110.003,3cVi9bWA3cGzHtYlWTIcCY,270000
0.668,0.668,-9.072,0.0309,0.0249,0.0229,0.246,0.294,124.007,5Qh5dgVlsM9wAC8CczAq3G,218402
0.715,0.947,-6.738,0.0435,0.252,0.912,0.581,0.519,122.034,3i41yQZllyhZZJXsr3ADhd,361960
0.863,0.601,-8.997,0.0703,0.00205,0.931,0.0838,0.198,128.014,47aSZv8FWDnGRtWnFItGzT,411819
0.797,0.893,-3.886,0.0415,0.000106,0.875,0.0552,0.455,130.034,66GA7b6ONDHPYgBBqJe9J0,237500
0.468,0.974,-6.183,0.0658,0.0744,0.00498,0.294,0.615,133.988,7BRfaJyBsD2kixpq6TC9bS,208000
0.756,0.626,-11.19,0.112,0.29,0.00908,0.101,0.407,134.005,3HMT60X7FnNyzwxiozhCL5,193000
0.676,0.92,-5.194,0.0317,3.56e-05,0.424,0.0443,0.647,128.004,0GSRErTHYi2AWD7rb1G2hb,185625
0.904,0.825,-5.675,0.123,0.0177,0.00665,0.124,0.602,123.048,2LFLXzQe95ViTXZeq1WRdx,203550
0.61,0.993,-2.775,0.199,0.000511,0.843,0.314,0.147,174.015,7oYhhesWeKI3Mv1ffuf1or,253793
